年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
1987/12/28,44.2,44.2,44.2,44.2,59.0,3000.0,2.7907,0.1967,0.0,,,,,,,,,,,,,
1987/12/29,45.5,45.5,45.5,45.5,73.0,3000.0,2.9412,0.2433,0.0,,,,,,,,,,,,,
1988/01/05,46.8,46.8,46.8,46.8,186.0,9000.0,2.8571,0.62,0.0,,,,,,,,,,,,,
1988/01/06,48.2,48.2,48.2,48.2,224.0,11000.0,2.9915,0.7467,0.0,,,,,,,,,,,,,
1988/01/07,49.6,49.6,49.6,49.6,92.0,5000.0,2.9046,0.3067,0.0,,,,,,,,,,,,,
1988/01/08,51.0,51.0,51.0,51.0,475.0,24000.0,2.8226,1.5833,0.0,,,,,,,,,,,,,
1988/01/09,52.0,52.5,50.5,51.0,1366.0,70000.0,0.0,4.5533,0.0,,,,,,,,,,,,,
1988/01/11,49.8,52.5,49.8,52.5,1117.0,59000.0,2.9412,3.7233,0.0,,,,,,,,,,,,,
1988/01/12,53.0,53.0,52.0,52.0,425.0,22000.0,-0.9524,1.4167,0.0,,,,,,,,,,,,,
1988/01/13,52.0,52.0,50.5,50.5,840.0,42000.0,-2.8846,2.8,0.0,,,,,,,,,,,,,
1988/01/14,49.0,49.0,49.0,49.0,9.0,441.0,-2.9703,0.03,0.0,,,,,,,,,,,,,
1988/01/15,47.6,50.0,47.6,50.0,679.0,34000.0,2.0408,2.2633,0.0,,,,,,,,,,,,,
1988/01/16,50.5,51.5,49.8,51.5,1114.0,57000.0,3.0,3.7133,0.0,,,,,,,,,,,,,
