Date,Price,Amount,High,Low,Close-Ad,Law-Buy,Law-Sell,Turnover
2016/2/1,19.76 ,2519.00 ,19.82 ,19.12 ,19.26 ,0.00 ,1451.00 ,1.22 
2016/2/2,19.24 ,1143.00 ,19.55 ,19.11 ,19.40 ,0.00 ,338.00 ,0.55 
2016/2/3,19.38 ,1506.00 ,19.38 ,19.21 ,19.27 ,0.00 ,290.00 ,0.73 
2016/2/15,19.10 ,1155.00 ,19.45 ,19.07 ,19.45 ,0.00 ,184.00 ,0.56 
2016/2/16,19.45 ,1744.00 ,20.14 ,19.45 ,20.12 ,0.00 ,206.00 ,0.85 
2016/2/17,20.19 ,2605.00 ,20.31 ,19.78 ,20.04 ,0.00 ,457.00 ,1.26 
2016/2/18,20.36 ,1253.00 ,20.50 ,20.21 ,20.31 ,32.00 ,0.00 ,0.61 
2016/2/19,20.31 ,1468.00 ,20.31 ,20.10 ,20.28 ,0.00 ,132.00 ,0.71 
2016/2/22,20.28 ,1560.00 ,20.64 ,20.26 ,20.64 ,139.00 ,0.00 ,0.76 
2016/2/23,20.72 ,1159.00 ,20.80 ,20.39 ,20.39 ,0.00 ,709.00 ,0.56 
2016/2/24,20.28 ,1511.00 ,20.65 ,20.26 ,20.30 ,0.00 ,646.00 ,0.73 
2016/2/25,20.59 ,2084.00 ,20.59 ,19.86 ,19.90 ,0.00 ,975.00 ,1.01 
2016/2/26,19.72 ,3705.00 ,19.74 ,19.47 ,19.51 ,0.00 ,2723.00 ,1.78 
2016/3/1,19.57 ,6021.00 ,19.63 ,19.11 ,19.16 ,0.00 ,4268.00 ,2.77 
2016/3/2,19.54 ,5904.00 ,19.82 ,19.43 ,19.78 ,0.00 ,1083.00 ,2.72 
2016/3/3,20.00 ,2356.00 ,20.14 ,19.88 ,20.04 ,0.00 ,1037.00 ,1.08 
2016/3/4,20.11 ,2733.00 ,20.11 ,19.88 ,20.04 ,0.00 ,788.00 ,1.26 
2016/3/7,20.07 ,3360.00 ,20.36 ,20.07 ,20.25 ,0.00 ,399.00 ,1.55 
2016/3/8,20.27 ,2019.00 ,20.31 ,19.68 ,19.92 ,0.00 ,1057.00 ,0.92 
2016/3/9,19.95 ,1122.00 ,20.00 ,19.80 ,19.90 ,177.00 ,0.00 ,0.51 
2016/3/10,19.91 ,1718.00 ,20.13 ,19.91 ,20.10 ,379.00 ,0.00 ,0.77 
2016/3/11,19.80 ,1381.00 ,19.89 ,19.66 ,19.88 ,0.00 ,569.00 ,0.61 
2016/3/14,19.98 ,4878.00 ,20.39 ,19.93 ,20.39 ,0.00 ,1517.00 ,2.14 
2016/3/15,20.35 ,9157.00 ,20.35 ,19.94 ,19.98 ,0.00 ,8074.00 ,3.84 
2016/3/16,20.08 ,2385.00 ,20.26 ,19.97 ,20.03 ,0.00 ,676.00 ,1.00 
