Date,Price,Amount,High,Low,Close-Ad,Law-Buy,Law-Sell,Turnover
2016/2/1,18.60 ,618.00 ,18.82 ,18.60 ,18.78 ,0.00 ,146.00 ,1.45 
2016/2/2,18.88 ,525.00 ,18.91 ,18.84 ,18.85 ,177.00 ,0.00 ,1.23 
2016/2/3,18.86 ,578.00 ,18.94 ,18.85 ,18.94 ,0.00 ,67.00 ,1.36 
2016/2/15,19.89 ,5098.00 ,20.35 ,19.80 ,20.25 ,2467.00 ,0.00 ,11.99 
2016/2/16,20.07 ,5707.00 ,20.14 ,19.86 ,19.87 ,3506.00 ,0.00 ,14.26 
2016/2/17,19.96 ,2734.00 ,20.20 ,19.96 ,20.14 ,1660.00 ,0.00 ,7.59 
2016/2/18,20.14 ,2118.00 ,20.22 ,20.13 ,20.18 ,1601.00 ,0.00 ,5.96 
2016/2/19,20.46 ,1882.00 ,20.54 ,20.43 ,20.46 ,1312.00 ,0.00 ,5.45 
2016/2/22,20.46 ,2343.00 ,20.46 ,20.28 ,20.33 ,1843.00 ,0.00 ,7.43 
2016/2/23,20.30 ,1446.00 ,20.41 ,20.20 ,20.38 ,281.00 ,0.00 ,4.59 
2016/2/24,20.52 ,1372.00 ,20.56 ,20.47 ,20.53 ,266.00 ,0.00 ,4.35 
2016/2/25,20.52 ,1245.00 ,20.64 ,20.52 ,20.58 ,485.00 ,0.00 ,3.95 
2016/2/26,20.61 ,1023.00 ,20.70 ,20.61 ,20.67 ,572.00 ,0.00 ,3.25 
2016/3/1,20.74 ,1709.00 ,20.84 ,20.67 ,20.80 ,293.00 ,0.00 ,5.42 
2016/3/2,20.75 ,1909.00 ,20.75 ,20.45 ,20.50 ,0.00 ,9.00 ,6.06 
2016/3/3,20.62 ,704.00 ,20.64 ,20.59 ,20.61 ,277.00 ,0.00 ,2.23 
2016/3/4,20.95 ,1115.00 ,20.96 ,20.87 ,20.96 ,354.00 ,0.00 ,3.54 
2016/3/7,21.02 ,1318.00 ,21.04 ,20.81 ,20.90 ,0.00 ,219.00 ,4.18 
2016/3/8,20.94 ,1547.00 ,21.09 ,20.94 ,21.02 ,288.00 ,0.00 ,5.43 
2016/3/9,21.00 ,1066.00 ,21.00 ,20.79 ,20.85 ,0.00 ,40.00 ,3.74 
2016/3/10,20.85 ,1022.00 ,20.85 ,20.72 ,20.80 ,398.00 ,0.00 ,3.58 
2016/3/11,21.09 ,2615.00 ,21.34 ,21.09 ,21.17 ,0.00 ,225.00 ,9.17 
2016/3/14,20.88 ,1219.00 ,20.88 ,20.78 ,20.84 ,0.00 ,624.00 ,4.28 
2016/3/15,20.60 ,1696.00 ,20.60 ,20.35 ,20.42 ,535.00 ,0.00 ,5.95 
2016/3/16,20.49 ,682.00 ,20.51 ,20.46 ,20.48 ,49.00 ,0.00 ,2.39 
2016/3/17,20.76 ,776.00 ,20.86 ,20.74 ,20.84 ,315.00 ,0.00 ,2.72 
2016/3/18,20.96 ,753.00 ,20.96 ,20.85 ,20.86 ,353.00 ,0.00 ,2.64 
2016/3/21,20.76 ,899.00 ,20.76 ,20.62 ,20.63 ,337.00 ,0.00 ,3.15 
2016/3/22,20.56 ,408.00 ,20.60 ,20.53 ,20.58 ,0.00 ,174.00 ,1.43 
2016/3/23,20.58 ,881.00 ,20.59 ,20.37 ,20.44 ,0.00 ,145.00 ,3.09 
2016/3/24,20.25 ,996.00 ,20.25 ,20.12 ,20.16 ,0.00 ,144.00 ,3.49 
2016/3/25,20.16 ,485.00 ,20.17 ,20.12 ,20.14 ,0.00 ,13.00 ,1.70 
2016/3/28,20.01 ,540.00 ,20.14 ,20.00 ,20.11 ,0.00 ,52.00 ,1.89 
2016/3/29,20.25 ,379.00 ,20.25 ,20.14 ,20.15 ,21.00 ,0.00 ,1.33 
2016/3/30,20.47 ,490.00 ,20.52 ,20.42 ,20.45 ,67.00 ,0.00 ,1.72 
2016/3/31,20.28 ,363.00 ,20.29 ,20.22 ,20.27 ,0.00 ,249.00 ,1.27 
2016/4/1,20.31 ,364.00 ,20.32 ,20.27 ,20.30 ,0.00 ,162.00 ,1.28 
2016/4/6,20.31 ,471.00 ,20.33 ,20.28 ,20.32 ,0.00 ,58.00 ,1.65 
2016/4/7,20.25 ,293.00 ,20.34 ,20.24 ,20.34 ,89.00 ,0.00 ,1.03 
2016/4/8,20.43 ,398.00 ,20.43 ,20.38 ,20.41 ,155.00 ,0.00 ,1.45 
2016/4/11,20.50 ,665.00 ,20.66 ,20.50 ,20.64 ,266.00 ,0.00 ,2.42 
2016/4/12,20.70 ,477.00 ,20.72 ,20.62 ,20.63 ,275.00 ,0.00 ,1.73 
2016/4/13,20.66 ,478.00 ,20.69 ,20.57 ,20.58 ,58.00 ,0.00 ,1.74 
2016/4/14,20.41 ,435.00 ,20.41 ,20.30 ,20.37 ,0.00 ,254.00 ,1.58 
2016/4/15,20.25 ,361.00 ,20.33 ,20.23 ,20.33 ,0.00 ,220.00 ,1.31 
2016/4/18,20.35 ,303.00 ,20.41 ,20.34 ,20.38 ,0.00 ,21.00 ,1.10 
2016/4/19,20.30 ,272.00 ,20.36 ,20.28 ,20.34 ,0.00 ,181.00 ,0.99 
2016/4/20,20.56 ,900.00 ,20.68 ,20.55 ,20.57 ,125.00 ,0.00 ,3.27 
2016/4/21,20.54 ,272.00 ,20.61 ,20.50 ,20.57 ,0.00 ,89.00 ,0.99 
