Date,Price,Amount,High,Low,Close-Ad,Law-Buy,Law-Sell,Turnover
2016/2/1,18.29 ,8922.00 ,18.55 ,18.16 ,18.40 ,4335.00 ,0.00 ,15.40 
2016/2/2,18.22 ,3186.00 ,18.44 ,18.08 ,18.08 ,268.00 ,0.00 ,5.50 
2016/2/3,17.11 ,8153.00 ,17.24 ,16.81 ,16.89 ,0.00 ,1459.00 ,14.08 
2016/2/15,14.70 ,26739.00 ,14.70 ,13.15 ,13.90 ,0.00 ,18104.00 ,38.24 
2016/2/16,13.77 ,20841.00 ,14.19 ,13.50 ,13.95 ,0.00 ,2749.00 ,29.39 
2016/2/17,13.98 ,29067.00 ,13.99 ,13.06 ,13.16 ,0.00 ,12810.00 ,40.14 
2016/2/18,13.81 ,22638.00 ,14.14 ,13.81 ,14.12 ,13141.00 ,0.00 ,31.26 
2016/2/19,13.55 ,18719.00 ,13.60 ,13.36 ,13.60 ,0.00 ,7813.00 ,25.85 
2016/2/22,13.70 ,12609.00 ,13.85 ,13.60 ,13.74 ,0.00 ,2687.00 ,17.41 
2016/2/23,13.87 ,14529.00 ,13.87 ,13.51 ,13.57 ,0.00 ,692.00 ,20.06 
2016/2/24,13.31 ,16688.00 ,13.57 ,13.26 ,13.35 ,0.00 ,5672.00 ,22.58 
2016/2/25,13.72 ,17673.00 ,13.95 ,13.58 ,13.88 ,11379.00 ,0.00 ,23.43 
2016/2/26,14.20 ,9822.00 ,14.22 ,13.92 ,13.96 ,4259.00 ,0.00 ,13.02 
2016/3/1,13.70 ,10368.00 ,13.81 ,13.41 ,13.60 ,0.00 ,3128.00 ,13.57 
2016/3/2,14.30 ,15390.00 ,14.80 ,14.30 ,14.70 ,9005.00 ,0.00 ,20.14 
2016/3/3,15.06 ,8410.00 ,15.13 ,14.88 ,15.10 ,1680.00 ,0.00 ,11.15 
2016/3/4,15.09 ,5190.00 ,15.29 ,15.02 ,15.16 ,743.00 ,0.00 ,6.88 
2016/3/7,14.98 ,4507.00 ,15.04 ,14.90 ,14.96 ,0.00 ,1458.00 ,6.06 
2016/3/8,14.66 ,11842.00 ,14.85 ,14.30 ,14.75 ,0.00 ,2409.00 ,15.91 
2016/3/9,14.26 ,11426.00 ,14.46 ,14.13 ,14.39 ,0.00 ,4475.00 ,15.15 
2016/3/10,14.55 ,7623.00 ,14.78 ,14.50 ,14.75 ,2279.00 ,0.00 ,10.11 
2016/3/11,14.54 ,8353.00 ,15.02 ,14.44 ,14.97 ,258.00 ,0.00 ,11.08 
2016/3/14,15.35 ,8235.00 ,15.48 ,15.26 ,15.34 ,196.00 ,0.00 ,10.92 
2016/3/15,15.41 ,6977.00 ,15.42 ,15.04 ,15.05 ,3300.00 ,0.00 ,9.25 
2016/3/16,15.18 ,6528.00 ,15.18 ,14.95 ,15.01 ,0.00 ,3856.00 ,8.66 
2016/3/17,15.33 ,11009.00 ,15.40 ,14.69 ,14.77 ,0.00 ,2836.00 ,14.60 
2016/3/18,14.52 ,14154.00 ,14.59 ,14.41 ,14.51 ,0.00 ,9647.00 ,18.52 
2016/3/21,14.50 ,2794.00 ,14.58 ,14.43 ,14.55 ,0.00 ,1040.00 ,3.66 
2016/3/22,15.04 ,17024.00 ,15.23 ,14.80 ,15.05 ,9055.00 ,0.00 ,22.57 
2016/3/23,15.10 ,4554.00 ,15.19 ,14.96 ,14.98 ,0.00 ,58.00 ,6.04 
2016/3/24,14.77 ,4084.00 ,15.03 ,14.77 ,14.90 ,0.00 ,958.00 ,5.42 
2016/3/25,15.01 ,5749.00 ,15.09 ,14.87 ,15.02 ,1202.00 ,0.00 ,7.62 
2016/3/28,15.21 ,5267.00 ,15.23 ,14.99 ,15.14 ,1684.00 ,0.00 ,7.08 
2016/3/29,15.30 ,11128.00 ,15.61 ,15.30 ,15.48 ,8106.00 ,0.00 ,15.16 
2016/3/30,15.31 ,7377.00 ,15.53 ,15.13 ,15.16 ,0.00 ,2506.00 ,10.05 
2016/3/31,15.24 ,5543.00 ,15.25 ,15.04 ,15.21 ,0.00 ,737.00 ,7.65 
2016/4/1,14.30 ,36617.00 ,14.39 ,13.97 ,14.03 ,0.00 ,20768.00 ,46.11 
2016/4/6,13.44 ,24209.00 ,13.44 ,13.08 ,13.30 ,0.00 ,11041.00 ,23.30 
2016/4/7,13.39 ,30317.00 ,13.40 ,13.08 ,13.19 ,0.00 ,14134.00 ,26.73 
2016/4/8,13.00 ,30080.00 ,13.75 ,12.93 ,13.71 ,2466.00 ,0.00 ,26.06 
2016/4/11,13.24 ,32343.00 ,13.37 ,13.08 ,13.30 ,0.00 ,14443.00 ,24.89 
2016/4/12,13.58 ,28504.00 ,13.81 ,13.49 ,13.77 ,13019.00 ,0.00 ,21.94 
2016/4/13,14.10 ,37669.00 ,14.50 ,14.06 ,14.47 ,18439.00 ,0.00 ,29.92 
2016/4/14,14.92 ,28396.00 ,15.25 ,14.92 ,15.14 ,10465.00 ,0.00 ,24.08 
2016/4/15,15.12 ,10001.00 ,15.20 ,14.99 ,15.15 ,163.00 ,0.00 ,9.02 
2016/4/18,14.32 ,22594.00 ,14.39 ,14.19 ,14.21 ,0.00 ,9554.00 ,20.37 
