Date,Price,Amount,High,Low,Close-Ad,Law-Buy,Law-Sell,Turnover
2016/2/1,21.37 ,2336.00 ,21.45 ,21.36 ,21.38 ,0.00 ,974.00 ,5.89 
2016/2/2,21.45 ,1373.00 ,21.49 ,21.37 ,21.47 ,0.00 ,56.00 ,3.46 
2016/2/3,21.71 ,3130.00 ,21.89 ,21.71 ,21.89 ,0.00 ,1310.00 ,7.89 
2016/2/15,22.04 ,3914.00 ,22.05 ,21.86 ,21.86 ,0.00 ,665.00 ,9.86 
2016/2/16,21.80 ,1542.00 ,21.80 ,21.62 ,21.62 ,137.00 ,0.00 ,3.70 
2016/2/17,21.52 ,1921.00 ,21.78 ,21.52 ,21.78 ,0.00 ,706.00 ,4.61 
2016/2/18,21.40 ,3134.00 ,21.50 ,21.28 ,21.28 ,0.00 ,1971.00 ,7.34 
2016/2/19,21.32 ,930.00 ,21.43 ,21.32 ,21.38 ,0.00 ,597.00 ,2.18 
2016/2/22,21.38 ,1439.00 ,21.38 ,21.28 ,21.30 ,0.00 ,319.00 ,3.37 
2016/2/23,21.15 ,775.00 ,21.28 ,21.13 ,21.28 ,0.00 ,246.00 ,1.82 
2016/2/24,21.45 ,3075.00 ,21.53 ,21.40 ,21.52 ,0.00 ,2068.00 ,6.88 
2016/2/25,21.30 ,4289.00 ,21.45 ,21.24 ,21.31 ,0.00 ,3187.00 ,8.81 
2016/2/26,21.06 ,2519.00 ,21.08 ,21.02 ,21.06 ,0.00 ,1264.00 ,4.92 
2016/3/1,21.20 ,2879.00 ,21.33 ,21.19 ,21.28 ,1940.00 ,0.00 ,5.62 
2016/3/2,20.77 ,2728.00 ,20.78 ,20.59 ,20.61 ,795.00 ,0.00 ,5.28 
2016/3/3,20.44 ,2008.00 ,20.57 ,20.44 ,20.53 ,0.00 ,331.00 ,3.88 
2016/3/4,20.52 ,1422.00 ,20.52 ,20.42 ,20.45 ,0.00 ,907.00 ,2.75 
2016/3/7,20.42 ,724.00 ,20.42 ,20.37 ,20.42 ,0.00 ,331.00 ,1.40 
2016/3/8,20.42 ,2144.00 ,20.48 ,20.36 ,20.42 ,0.00 ,1922.00 ,4.15 
2016/3/9,20.56 ,1776.00 ,20.56 ,20.50 ,20.51 ,0.00 ,654.00 ,3.40 
2016/3/10,20.48 ,1144.00 ,20.50 ,20.42 ,20.48 ,0.00 ,60.00 ,2.19 
2016/3/11,20.52 ,2097.00 ,20.52 ,20.31 ,20.32 ,0.00 ,514.00 ,4.02 
2016/3/14,20.20 ,1314.00 ,20.20 ,20.09 ,20.13 ,48.00 ,0.00 ,2.52 
2016/3/15,20.20 ,2224.00 ,20.23 ,20.10 ,20.23 ,0.00 ,1692.00 ,4.26 
2016/3/16,20.20 ,1381.00 ,20.20 ,20.14 ,20.16 ,0.00 ,649.00 ,2.62 
2016/3/17,20.08 ,1988.00 ,20.08 ,19.92 ,20.01 ,0.00 ,1120.00 ,3.74 
2016/3/18,19.87 ,2104.00 ,19.92 ,19.85 ,19.91 ,0.00 ,1236.00 ,3.85 
2016/3/21,19.83 ,2099.00 ,19.86 ,19.81 ,19.81 ,0.00 ,1391.00 ,3.67 
2016/3/22,19.74 ,3417.00 ,19.82 ,19.73 ,19.82 ,0.00 ,2847.00 ,5.77 
2016/3/23,19.75 ,2779.00 ,19.82 ,19.75 ,19.82 ,0.00 ,2015.00 ,4.02 
2016/3/24,19.91 ,2174.00 ,19.91 ,19.88 ,19.91 ,0.00 ,1257.00 ,3.10 
2016/3/25,19.91 ,684.00 ,19.91 ,19.87 ,19.91 ,0.00 ,331.00 ,0.97 
