年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2014/10/30,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014/10/31,19.7,19.9,19.65,19.75,8681.0,172054.0,0.0,12.032,1889.0,100.0,0.0,2949.0,3049.0,837.0,837.0,0.0,0.0,0.0,0.0,0.0,,
2014/11/03,19.75,19.76,19.61,19.68,5828.0,114736.0,-0.3544,8.1341,1434.0,125.0,0.0,-107.0,18.0,1300.0,571.0,108.0,0.0,19.0,19.0,0.0,,
2014/11/04,19.68,19.73,19.6,19.72,8030.0,158039.0,0.2033,11.2862,1740.0,0.0,0.0,-2588.0,-2588.0,2537.0,1405.0,166.0,8.0,11.0,0.0,0.0,,
2014/11/05,19.69,19.78,19.66,19.77,7323.0,144565.0,0.2535,10.2925,1992.0,65.0,0.0,-1331.0,-1266.0,1949.0,558.0,1146.0,0.0,1.0,0.0,0.0,,
2014/11/06,19.77,19.91,19.71,19.89,9868.0,195451.0,0.607,14.0672,1943.0,0.0,0.0,717.0,717.0,1697.0,611.0,863.0,0.0,169.0,168.0,0.0,,
2014/11/07,19.89,19.97,19.84,19.86,11326.0,225198.0,-0.1508,16.3791,1937.0,50.0,0.0,-4786.0,-4736.0,2004.0,506.0,199.0,17.0,306.0,154.0,0.0,,
2014/11/10,19.7,19.78,19.53,19.55,7645.0,149699.0,-1.5609,11.0558,1710.0,30.0,0.0,-5242.0,-5212.0,2359.0,485.0,130.0,157.0,0.0,0.0,0.0,,
2014/11/11,19.52,19.6,19.51,19.6,5012.0,98014.0,0.2558,7.2481,1018.0,0.0,0.0,-3407.0,-3407.0,2401.0,204.0,162.0,0.0,0.0,0.0,0.0,,
2014/11/12,19.65,19.87,19.61,19.84,7630.0,150571.0,1.2245,11.1961,905.0,90.0,0.0,2052.0,2142.0,2098.0,128.0,431.0,0.0,8.0,8.0,0.0,,
2014/11/13,19.85,19.85,19.73,19.74,3540.0,70045.0,-0.504,5.1945,457.0,150.0,0.0,-1583.0,-1433.0,2411.0,360.0,47.0,3.0,8.0,3.0,0.0,,
2014/11/14,19.76,19.8,19.69,19.76,2545.0,50213.0,0.1013,3.7345,545.0,56.0,0.0,-1322.0,-1266.0,2453.0,100.0,58.0,2.0,6.0,0.0,0.0,,
2014/11/17,19.66,19.93,19.63,19.88,6541.0,129418.0,0.6073,10.0401,621.0,0.0,0.0,1708.0,1708.0,1847.0,161.0,767.0,0.0,12.0,6.0,0.0,,
2014/11/18,19.8,20.0,19.77,19.94,2818.0,56166.0,0.3018,4.3255,543.0,-1.0,0.0,1312.0,1311.0,1893.0,478.0,432.0,2.0,10.0,0.0,0.0,,
2014/11/19,19.94,19.94,19.7,19.76,7037.0,138924.0,-0.9027,10.9698,998.0,25.0,0.0,-6087.0,-6062.0,2588.0,788.0,93.0,5.0,25.0,20.0,0.0,,
2014/11/20,19.72,19.72,19.46,19.5,16837.0,328761.0,-1.3158,26.2467,2470.0,25.0,0.0,-2711.0,-2686.0,3901.0,1385.0,72.0,4.0,21.0,0.0,0.0,,
2014/11/21,19.5,19.53,19.46,19.48,8490.0,165494.0,-0.1026,13.2348,1542.0,25.0,0.0,-1297.0,-1272.0,4254.0,462.0,109.0,0.0,21.0,0.0,0.0,,
2014/11/24,19.48,19.48,19.37,19.47,6430.0,124913.0,-0.0513,10.0235,970.0,0.0,0.0,-2579.0,-2579.0,3818.0,165.0,601.0,1.0,23.0,3.0,0.0,,
2014/11/25,19.52,19.53,19.42,19.45,4919.0,95756.0,-0.1027,7.6088,516.0,-106.0,0.0,-4034.0,-4140.0,3832.0,223.0,209.0,0.0,23.0,0.0,0.0,,
2014/11/26,19.5,19.5,19.45,19.48,1768.0,34427.0,0.1542,2.4006,198.0,0.0,0.0,-610.0,-610.0,3735.0,80.0,177.0,20.0,1.0,0.0,0.0,,
2014/11/27,19.42,19.42,19.24,19.33,5638.0,108872.0,-0.77,7.1686,874.0,-771.0,0.0,-3512.0,-4283.0,3728.0,304.0,311.0,0.0,4.0,3.0,0.0,,
2014/11/28,19.32,19.35,19.29,19.34,3638.0,70314.0,0.0517,4.6256,605.0,0.0,0.0,-2551.0,-2551.0,3955.0,283.0,56.0,3.0,1.0,0.0,0.0,,
2014/12/01,19.58,19.61,19.35,19.45,8593.0,167597.0,0.5688,10.9258,1002.0,0.0,0.0,1126.0,1126.0,3669.0,706.0,992.0,0.0,17.0,16.0,0.0,,
2014/12/02,19.49,19.68,19.49,19.62,7556.0,148144.0,0.874,9.6072,1009.0,0.0,0.0,1794.0,1794.0,3457.0,188.0,400.0,15.0,2.0,0.0,0.0,,
2014/12/03,19.6,19.6,19.3,19.34,9567.0,185404.0,-1.4271,12.0115,963.0,365.0,0.0,-5212.0,-4847.0,3721.0,702.0,438.0,1.0,13.0,12.0,0.0,,
