年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2017/08/31,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017/09/01,20.02,20.02,19.97,20.01,3173.0,63473.0,0.0,33.1073,123.0,0.0,0.0,2583.0,2583.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,
2017/09/04,20.11,20.15,20.09,20.1,874.0,17582.0,0.4498,9.1194,44.0,0.0,0.0,21.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/09/05,20.18,20.31,20.17,20.28,393.0,7966.0,0.8955,4.3263,25.0,0.0,0.0,58.0,58.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/09/06,20.5,20.54,20.49,20.49,1289.0,26438.0,1.0355,14.1898,42.0,0.0,0.0,99.0,99.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,,
2017/09/07,20.35,20.36,20.31,20.36,709.0,14418.0,-0.6345,7.8049,23.0,0.0,0.0,101.0,101.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,,
2017/09/08,20.61,20.86,20.6,20.86,2561.0,53086.0,2.4558,28.1924,54.0,0.0,0.0,-38.0,-38.0,25.0,20.0,0.0,0.0,0.0,0.0,0.0,,
2017/09/11,20.63,20.63,20.56,20.62,334.0,6883.0,-1.1505,3.6768,21.0,0.0,0.0,-6.0,-6.0,33.0,8.0,0.0,0.0,0.0,0.0,0.0,,
2017/09/12,20.2,20.28,20.2,20.24,277.0,5607.0,-1.8429,3.0493,29.0,0.0,0.0,-140.0,-140.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,,
2017/09/13,20.0,20.03,19.97,19.99,1021.0,20413.0,-1.2352,11.2395,54.0,0.0,0.0,-312.0,-312.0,54.0,19.0,0.0,0.0,0.0,0.0,0.0,,
