年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2018/12/18,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2018/12/19,19.27,19.42,19.13,19.36,860.0,16635.0,-3.2,8.5445,269.0,0.0,0.0,497.0,497.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,
2018/12/20,19.34,19.39,19.16,19.16,925.0,17808.0,-1.0331,10.2041,103.0,0.0,0.0,165.0,165.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018/12/21,19.45,19.48,19.41,19.44,958.0,18629.0,1.4614,10.5681,181.0,0.0,0.0,814.0,814.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,
2018/12/22,19.17,19.28,19.17,19.17,303.0,5840.0,-1.3889,3.3425,14.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2018/12/24,19.27,19.35,19.27,19.35,536.0,10366.0,0.939,6.258,56.0,0.0,0.0,91.0,91.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018/12/25,19.25,19.33,19.21,19.33,503.0,9712.0,-0.1034,5.8727,21.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018/12/26,19.22,19.22,19.07,19.09,511.0,9800.0,-1.2416,6.7548,23.0,0.0,0.0,6.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2018/12/27,19.45,19.52,19.43,19.51,513.0,10004.0,2.2001,6.7812,162.0,0.0,0.0,169.0,169.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,,
2018/12/28,19.4,19.41,19.39,19.39,508.0,9859.0,-0.6151,6.7151,24.0,0.0,0.0,-14.0,-14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/02,19.22,19.24,19.07,19.1,704.0,13452.0,-1.4956,9.306,44.0,0.0,0.0,214.0,214.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/03,18.81,18.86,18.8,18.82,501.0,9436.0,-1.466,6.6226,22.0,0.0,0.0,16.0,16.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/04,18.5,18.79,18.5,18.79,550.0,10300.0,-0.1594,7.2703,29.0,0.0,0.0,-243.0,-243.0,256.0,251.0,2.0,0.0,0.0,0.0,0.0,,
2019/01/07,19.02,19.08,18.99,19.05,503.0,9594.0,1.3837,6.649,31.0,0.0,0.0,5.0,5.0,256.0,2.0,2.0,0.0,0.0,0.0,0.0,,
2019/01/08,19.02,19.02,18.95,18.95,501.0,9497.0,-0.5249,6.6226,13.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/09,19.11,19.23,19.11,19.22,502.0,9640.0,1.4248,6.6358,48.0,0.0,0.0,95.0,95.0,247.0,1.0,10.0,0.0,0.0,0.0,0.0,,
2019/01/10,19.16,19.25,19.1,19.23,559.0,10742.0,0.052,7.3893,23.0,0.0,0.0,-36.0,-36.0,307.0,60.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/11,19.04,19.17,19.0,19.17,507.0,9711.0,-0.312,6.7019,25.0,0.0,0.0,-164.0,-164.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/14,19.17,19.17,18.95,18.95,716.0,13602.0,-1.1476,9.4646,26.0,0.0,0.0,201.0,201.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/15,19.0,19.14,19.0,19.14,500.0,9550.0,1.0026,6.6094,19.0,0.0,0.0,6.0,6.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/16,19.05,19.22,19.05,19.22,502.0,9639.0,0.418,6.6358,16.0,0.0,0.0,2.0,2.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/17,19.23,19.28,19.23,19.26,20.0,385.0,0.2081,0.2644,11.0,0.0,0.0,15.0,15.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/18,19.41,19.46,19.36,19.46,58.0,1126.0,1.0384,0.7667,33.0,0.0,0.0,31.0,31.0,305.0,0.0,2.0,0.0,0.0,0.0,0.0,,
2019/01/21,19.5,19.5,19.45,19.48,16.0,311.0,0.1028,0.2115,16.0,0.0,0.0,8.0,8.0,306.0,1.0,0.0,0.0,0.0,0.0,0.0,,
2019/01/22,19.38,19.38,19.31,19.31,13.0,251.0,-0.8727,0.1718,4.0,0.0,0.0,-13.0,-13.0,308.0,2.0,0.0,0.0,0.0,0.0,0.0,,
