年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2019/11/22,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019/11/25,39.92,40.0,39.92,39.99,8584.0,343022.0,-0.025,30.3923,2579.0,0.0,0.0,7743.0,7743.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,,
2019/11/26,39.92,39.95,39.91,39.92,629.0,25112.0,-0.175,3.1071,228.0,0.0,0.0,564.0,564.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/11/27,39.9,39.96,39.9,39.94,745.0,29750.0,0.0501,3.7733,212.0,0.0,0.0,725.0,725.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/11/28,39.9,39.94,39.9,39.92,373.0,14894.0,-0.0501,1.8892,97.0,0.0,0.0,342.0,342.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/11/29,39.55,39.96,39.55,39.95,550.0,21969.0,0.0752,2.9343,138.0,0.0,0.0,543.0,543.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/12/02,39.95,39.97,39.87,39.93,167.0,6668.0,-0.0501,0.891,61.0,0.0,0.0,155.0,155.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,,
2019/12/03,39.9,39.94,39.9,39.93,274.0,10940.0,0.0,1.5442,83.0,0.0,0.0,265.0,265.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/12/04,39.95,39.97,39.94,39.94,399.0,15943.0,0.025,2.2486,109.0,-5.0,0.0,389.0,384.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,,
2019/12/05,39.92,39.96,39.37,39.94,238.0,9493.0,0.0,1.3802,80.0,0.0,0.0,185.0,185.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/12/06,39.95,39.95,39.93,39.94,263.0,10504.0,0.0,1.5252,58.0,0.0,0.0,260.0,260.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,,
2019/12/09,39.94,39.94,39.91,39.93,137.0,5470.0,-0.025,0.7945,50.0,0.0,0.0,134.0,134.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/12/10,39.92,39.96,39.92,39.95,285.0,11387.0,0.0501,1.6527,75.0,0.0,0.0,283.0,283.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/12/11,39.95,39.96,39.94,39.94,191.0,7629.0,-0.025,1.1407,42.0,0.0,0.0,189.0,189.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
