年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2005/12/26,10.05,10.1,10.05,10.05,88406.0,888596.0,0.5,7.8235,1728.0,,,,,,,,,,,0.0,,
2005/12/27,10.05,10.1,10.05,10.1,17895.0,179998.0,0.4975,1.5836,561.0,0.0,-1000.0,0.0,-1000.0,,,,,,,0.0,,
2005/12/28,10.05,10.1,10.05,10.05,4459.0,44827.0,-0.495,0.3946,240.0,0.0,-112.0,0.0,-112.0,,,,,,,0.0,,
2005/12/29,10.05,10.1,10.05,10.05,4768.0,47919.0,0.0,0.4219,225.0,,,,,,,,,,,0.0,,
2005/12/30,10.05,10.1,10.05,10.05,5127.0,51529.0,0.0,0.4537,267.0,,,,,,,,,,,0.0,,
2006/01/02,10.05,10.1,10.05,10.05,4612.0,46351.0,0.0,0.4081,203.0,,,,,,,,,,,0.0,,
2006/01/03,10.05,10.1,10.05,10.05,5634.0,56633.0,0.0,0.4986,223.0,,,,,,,,,,,0.0,,
2006/01/04,10.1,10.1,10.05,10.05,11189.0,112836.0,0.0,0.9902,287.0,,,,,,,,,,,0.0,,
2006/01/05,10.05,10.1,10.05,10.05,3439.0,34628.0,0.0,0.3043,180.0,,,,,,,,,,,0.0,,
2006/01/06,10.05,10.1,10.05,10.1,29289.0,295780.0,0.4975,2.5919,937.0,0.0,2000.0,0.0,2000.0,,,,,,,0.0,,
2006/01/09,10.1,10.1,10.05,10.1,6522.0,65829.0,0.0,0.5772,614.0,0.0,500.0,0.0,500.0,,,,,,,0.0,,
2006/01/10,10.1,10.1,10.05,10.1,23100.0,233289.0,0.0,2.0442,869.0,,,,,,,,,,,0.0,,
2006/01/11,10.1,10.15,10.1,10.15,9844.0,99429.0,0.495,0.8712,391.0,,,,,,,,,,,0.0,,
2006/01/12,10.1,10.15,10.1,10.1,1977.0,20002.0,-0.4926,0.175,128.0,0.0,0.0,-62.0,-62.0,,,,,,,0.0,,
2006/01/13,10.1,10.15,10.1,10.15,2067.0,20902.0,0.495,0.1829,136.0,,,,,,,,,,,0.0,,
2006/01/16,10.1,10.15,10.1,10.1,622.0,6282.0,-0.4926,0.055,66.0,,,,,,,,,,,0.0,,
2006/01/17,10.1,10.15,10.1,10.1,3367.0,34011.0,0.0,0.298,87.0,,,,,,,,,,,0.0,,
2006/01/18,10.1,10.15,10.1,10.1,1569.0,15846.0,0.0,0.1388,101.0,,,,,,,,,,,0.0,,
2006/01/19,10.1,10.15,10.1,10.1,994.0,10039.0,0.0,0.088,60.0,,,,,,,,,,,0.0,,
2006/01/20,10.1,10.15,10.1,10.1,600.0,6062.0,0.0,0.0531,51.0,,,,,,,,,,,0.0,,
2006/01/23,10.1,10.15,10.1,10.15,1492.0,15074.0,0.495,0.132,72.0,0.0,0.0,-30.0,-30.0,,,,,,,0.0,,
2006/01/24,10.15,10.15,10.1,10.1,1988.0,20169.0,-0.4926,0.1759,102.0,,,,,,,,,,,0.0,,
2006/01/25,10.1,10.15,10.1,10.15,3740.0,37935.0,0.495,0.331,155.0,2500.0,0.0,-1200.0,1300.0,,,,,,,0.0,,
2006/02/03,10.1,10.15,10.1,10.1,2484.0,25091.0,-0.4926,0.2198,61.0,170.0,0.0,0.0,170.0,,,,,,,0.0,,
2006/02/06,10.1,10.15,10.1,10.15,1118.0,11318.0,0.495,0.0989,48.0,,,,,,,,,,,0.0,,
2006/02/07,10.1,10.15,10.1,10.15,1791.0,18114.0,0.0,0.1585,56.0,0.0,0.0,-251.0,-251.0,,,,,,,0.0,,
2006/02/08,10.15,10.15,10.1,10.15,803.0,8141.0,0.0,0.0711,47.0,,,,,,,,,,,0.0,,
