年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2017/02/10,51.5,51.9,51.5,51.7,6067.0,313816.0,3.4,1.2134,1741.0,-53.0,0.0,-494.0,-547.0,,,,,,,0.0,,
2017/02/13,51.8,51.9,51.7,51.8,2617.0,135581.0,0.1934,0.5234,896.0,0.0,0.0,-500.0,-500.0,,,,,,,0.0,,
2017/02/14,51.8,51.9,51.7,51.7,1488.0,77035.0,-0.1931,0.2976,486.0,-74.0,0.0,-300.0,-374.0,,,,,,,0.0,,
2017/02/15,51.7,51.8,51.6,51.6,1851.0,95716.0,-0.1934,0.3702,407.0,-85.0,0.0,-450.0,-535.0,,,,,,,0.0,,
2017/02/16,51.7,51.7,51.6,51.6,822.0,42469.0,0.0,0.1644,369.0,-212.0,0.0,0.0,-212.0,,,,,,,0.0,,
2017/02/17,51.7,51.8,51.7,51.7,980.0,50727.0,0.1938,0.196,274.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/02/18,51.7,52.0,51.7,51.9,521.0,27065.0,0.3868,0.1042,225.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/02/20,51.9,52.0,51.8,51.9,472.0,24526.0,0.0,0.0944,171.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/02/21,51.9,52.2,51.9,52.2,696.0,36216.0,0.578,0.1392,280.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/02/22,52.2,52.3,52.1,52.1,1045.0,54535.0,-0.1916,0.209,244.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/02/23,52.1,52.3,52.1,52.3,526.0,27511.0,0.3839,0.1052,177.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/02/24,52.3,52.4,52.2,52.4,284.0,14905.0,0.1912,0.0568,99.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/03/01,52.4,52.6,52.4,52.6,740.0,38871.0,0.3817,0.148,230.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
2017/03/02,52.7,53.0,52.7,53.0,927.0,49063.0,0.7605,0.1854,280.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,
