年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2017/04/24,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017/04/25,20.03,20.04,20.0,20.02,4333.0,86768.0,0.0,15.9501,376.0,0.0,0.0,3461.0,3461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/04/26,20.04,20.05,19.93,19.93,2075.0,41492.0,-0.4496,7.6382,90.0,0.0,0.0,702.0,702.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,,
2017/04/27,19.9,19.9,19.84,19.87,1233.0,24484.0,-0.3011,4.5388,48.0,0.0,0.0,23.0,23.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,,
2017/04/28,19.84,19.88,19.82,19.88,1275.0,25302.0,0.0503,4.6934,56.0,0.0,0.0,33.0,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/05/02,20.05,20.21,20.04,20.19,2086.0,42002.0,1.5594,7.6787,205.0,0.0,0.0,1150.0,1150.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,,
2017/05/03,20.1,20.13,20.05,20.08,1437.0,28875.0,-0.5448,5.2897,65.0,0.0,0.0,-69.0,-69.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,,
2017/05/04,20.2,20.22,20.18,20.18,1191.0,24055.0,0.498,4.3842,64.0,0.0,0.0,21.0,21.0,84.0,70.0,1.0,0.0,0.0,0.0,0.0,,
2017/05/05,20.18,20.19,20.13,20.16,2005.0,40426.0,-0.0991,7.3805,60.0,0.0,0.0,325.0,325.0,89.0,5.0,0.0,0.0,0.0,0.0,0.0,,
2017/05/08,20.16,20.16,20.04,20.05,1265.0,25399.0,-0.5456,4.6566,45.0,0.0,0.0,44.0,44.0,20.0,8.0,77.0,0.0,2.0,2.0,0.0,,
2017/05/09,20.02,20.03,19.98,19.98,899.0,17979.0,-0.3491,3.3093,43.0,0.0,0.0,25.0,25.0,21.0,4.0,3.0,0.0,2.0,0.0,0.0,,
2017/05/10,20.18,20.19,20.14,20.15,3291.0,66344.0,0.8509,12.1144,108.0,0.0,0.0,2620.0,2620.0,11.0,1.0,11.0,2.0,0.0,0.0,0.0,,
2017/05/11,20.1,20.1,19.98,20.04,884.0,17713.0,-0.5459,3.2541,33.0,0.0,0.0,-6.0,-6.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,,
2017/05/12,19.98,19.98,19.94,19.95,1052.0,20986.0,-0.4491,3.8725,46.0,0.0,0.0,-109.0,-109.0,33.0,32.0,0.0,0.0,0.0,0.0,0.0,,
2017/05/15,19.97,19.99,19.96,19.96,865.0,17282.0,0.0501,3.1841,37.0,0.0,0.0,-260.0,-260.0,153.0,120.0,0.0,0.0,0.0,0.0,0.0,,
2017/05/16,19.98,19.98,19.96,19.96,1002.0,20017.0,0.0,3.6884,28.0,0.0,0.0,-29.0,-29.0,155.0,2.0,0.0,0.0,0.0,0.0,0.0,,
2017/05/17,20.17,20.27,20.15,20.27,1996.0,40314.0,1.5531,7.3474,138.0,0.0,0.0,417.0,417.0,60.0,30.0,125.0,0.0,0.0,0.0,0.0,,
2017/05/18,19.98,20.0,19.92,19.98,1017.0,20303.0,-1.4307,3.7437,68.0,0.0,0.0,-361.0,-361.0,197.0,142.0,5.0,0.0,0.0,0.0,0.0,,
2017/05/19,19.62,19.68,19.6,19.66,1673.0,32880.0,-1.6016,6.1584,130.0,0.0,0.0,-353.0,-353.0,221.0,24.0,0.0,0.0,1.0,1.0,0.0,,
