年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2019/02/14,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2019/02/15,39.8,39.84,39.8,39.84,65.0,2589.0,-0.4,1.2745,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/18,39.84,39.87,39.84,39.87,60.0,2390.0,0.0753,1.1765,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/19,39.89,39.89,39.88,39.88,52.0,2073.0,0.0251,1.0196,4.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/20,39.93,40.01,39.91,39.95,56.0,2237.0,0.1755,1.098,7.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/21,39.87,39.87,39.8,39.82,99.0,3943.0,-0.3254,1.9412,12.0,0.0,0.0,-7.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/22,39.75,39.75,39.6,39.6,52.0,2059.0,-0.5525,1.0196,3.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/25,39.6,39.6,39.6,39.6,50.0,1980.0,0.0,0.9804,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/26,39.65,39.72,39.65,39.72,51.0,2022.0,0.303,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/02/27,39.65,39.65,39.65,39.65,50.0,1982.0,-0.1762,0.9804,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/03/04,39.09,39.09,39.05,39.05,51.0,1991.0,-1.5132,1.0,3.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/03/05,39.55,39.55,39.55,39.55,50.0,1977.0,1.2804,0.9804,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2019/03/06,39.6,39.6,39.6,39.6,50.0,1980.0,0.1264,0.9804,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
