年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2017/03/13,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017/03/14,19.92,19.92,19.87,19.87,948.0,18847.0,0.0,8.4734,53.0,0.0,0.0,541.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/15,19.82,19.82,19.8,19.8,824.0,16323.0,-0.3523,7.365,16.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/16,20.0,20.01,19.99,19.99,537.0,10739.0,0.9596,4.7998,33.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/17,20.04,20.07,20.04,20.05,139.0,2787.0,0.3002,1.2424,29.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/20,20.06,20.06,20.04,20.06,512.0,10268.0,0.0499,4.5763,15.0,0.0,0.0,-10.0,-10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/21,20.06,20.06,20.01,20.02,690.0,13818.0,-0.1994,6.1673,22.0,0.0,0.0,-2.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/22,20.11,20.15,20.11,20.14,371.0,7465.0,0.5994,3.3161,127.0,0.0,0.0,18.0,18.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,,
2017/03/23,20.15,20.16,20.15,20.16,858.0,17293.0,0.0993,7.6689,49.0,0.0,0.0,-2.0,-2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/24,20.13,20.13,20.11,20.12,821.0,16514.0,-0.1984,7.3382,21.0,0.0,0.0,-16.0,-16.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,
2017/03/27,20.23,20.26,20.22,20.26,556.0,11251.0,0.6958,4.9696,125.0,0.0,0.0,-83.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/28,20.25,20.25,20.24,20.24,713.0,14431.0,-0.0987,6.3729,23.0,0.0,0.0,-12.0,-12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/29,20.12,20.12,20.1,20.1,775.0,15591.0,-0.6917,6.9271,70.0,0.0,0.0,158.0,158.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,,
2017/03/30,20.03,20.04,20.02,20.04,130.0,2604.0,-0.2985,1.162,94.0,0.0,0.0,129.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
