年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
1989/11/11,38.5,38.5,38.5,38.5,1.0,38.0,6.9444,0.0012,1.0,,,,,,,,,,,,,
1989/11/14,41.1,41.1,41.1,41.1,2.0,82.0,6.7532,0.0023,2.0,,,,,,,,,,,,,
1989/11/15,43.9,43.9,43.9,43.9,1.0,43.0,6.8127,0.0012,1.0,,,,,,,,,,,,,
1989/11/16,46.9,46.9,46.9,46.9,1.0,46.0,6.8337,0.0012,1.0,,,,,,,,,,,,,
1989/11/17,50.0,50.0,50.0,50.0,1.0,50.0,6.6098,0.0012,1.0,,,,,,,,,,,,,
1989/11/18,53.5,53.5,53.5,53.5,4.0,214.0,7.0,0.0047,4.0,,,,,,,,,,,,,
1989/11/20,57.0,57.0,57.0,57.0,1.0,57.0,6.5421,0.0012,1.0,,,,,,,,,,,,,
1989/11/21,60.5,60.5,60.5,60.5,1.0,60.0,6.1404,0.0012,1.0,,,,,,,,,,,,,
1989/11/22,64.5,64.5,64.5,64.5,1.0,64.0,6.6116,0.0012,1.0,,,,,,,,,,,,,
1989/11/23,69.0,69.0,69.0,69.0,1.0,69.0,6.9767,0.0012,1.0,,,,,,,,,,,,,
1989/11/24,73.5,73.5,73.5,73.5,1.0,73.0,6.5217,0.0012,1.0,,,,,,,,,,,,,
1989/11/25,78.5,78.5,78.5,78.5,1.0,78.0,6.8027,0.0012,1.0,,,,,,,,,,,,,
1989/11/27,83.5,83.5,83.5,83.5,1.0,83.0,6.3694,0.0012,1.0,,,,,,,,,,,,,
1989/11/28,89.0,89.0,89.0,89.0,1.0,89.0,6.5868,0.0012,1.0,,,,,,,,,,,,,
1989/11/29,95.0,95.0,95.0,95.0,9.0,1000.0,6.7416,0.0105,7.0,,,,,,,,,,,,,
1989/11/30,101.5,101.5,101.5,101.5,5.0,1000.0,6.8421,0.0058,5.0,,,,,,,,,,,,,
1989/12/01,108.5,108.5,108.5,108.5,2.0,217.0,6.8966,0.0023,1.0,,,,,,,,,,,,,
1989/12/04,116.0,116.0,116.0,116.0,1.0,116.0,6.9124,0.0012,1.0,,,,,,,,,,,,,
