年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2016/8/8,5.65,5.66,5.63,5.66,400.0,2259.0,0.0,57.1429,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/9,5.7,5.72,5.7,5.72,400.0,2284.0,1.0601,57.1429,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/10,5.68,5.68,5.67,5.67,400.0,2270.0,-0.8741,57.1429,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/11,5.74,5.76,5.74,5.76,370.0,2127.0,1.5873,52.8571,9.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/12,5.72,5.72,5.72,5.72,435.0,2488.0,-0.6944,62.1429,10.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/15,5.72,5.99,5.72,5.99,395.0,2302.0,4.7203,56.4286,9.0,0.0,0.0,-7.0,-7.0,,,,,,,,,
2016/8/16,5.99,5.99,5.94,5.94,430.0,2556.0,-0.8347,61.4286,7.0,0.0,0.0,-50.0,-50.0,,,,,,,,,
2016/8/17,5.94,5.98,5.9,5.98,358.0,2140.0,0.6734,51.1429,11.0,0.0,0.0,-8.0,-8.0,,,,,,,,,
2016/8/18,5.94,5.96,5.94,5.96,376.0,2240.0,-0.3344,53.7143,13.0,0.0,0.0,-26.0,-26.0,,,,,,,,,
2016/8/19,5.85,5.93,5.85,5.93,350.0,2065.0,-0.5034,50.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/22,5.93,5.93,5.93,5.93,340.0,2016.0,0.0,48.7805,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/23,5.91,5.92,5.91,5.92,480.0,2838.0,-0.1686,68.8666,15.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/24,5.88,5.89,5.83,5.87,407.0,2393.0,-0.8446,58.3931,12.0,0.0,0.0,-4.0,-4.0,,,,,,,,,
2016/8/25,5.86,5.87,5.86,5.87,400.0,2347.0,0.0,57.3888,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/26,5.86,5.86,5.84,5.84,400.0,2340.0,-0.5111,57.3888,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/29,5.82,5.84,5.82,5.84,300.0,1749.0,0.0,43.0416,6.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/30,5.84,5.84,5.84,5.84,430.0,2511.0,0.0,61.693,21.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/8/31,5.85,5.86,5.84,5.84,369.0,2158.0,0.0,52.9412,11.0,0.0,0.0,0.0,0.0,,,,,,,,,
2016/9/1,5.84,5.85,5.84,5.85,383.0,2238.0,0.1712,54.9498,8.0,0.0,0.0,-3.0,-3.0,,,,,,,,,
2016/9/2,5.83,5.84,5.83,5.84,408.0,2382.0,-0.1709,58.5366,15.0,0.0,0.0,-8.0,-8.0,,,,,,,,,
2016/9/5,5.87,5.87,5.83,5.83,303.0,1769.0,-0.1712,43.472,8.0,0.0,0.0,-3.0,-3.0,,,,,,,,,
2016/9/6,5.9,5.9,5.9,5.9,200.0,1180.0,1.2007,28.6944,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
