年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2016/07/13,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016/07/14,20.02,20.05,19.9,19.95,6755.0,134927.0,0.0,22.0932,1237.0,0.0,0.0,-195.0,-195.0,1731.0,1731.0,0.0,0.0,0.0,0.0,0.0,,
2016/07/15,19.91,19.92,19.72,19.74,8158.0,161739.0,-1.0526,25.4341,894.0,0.0,0.0,-2026.0,-2026.0,2720.0,1020.0,31.0,0.0,0.0,0.0,0.0,,
2016/07/18,19.69,19.69,19.55,19.57,6735.0,131953.0,-0.8612,19.4794,570.0,0.0,0.0,-2168.0,-2168.0,3374.0,793.0,139.0,0.0,0.0,0.0,0.0,,
2016/07/19,19.52,19.63,19.49,19.51,6361.0,124321.0,-0.3066,16.9288,586.0,0.0,0.0,-2516.0,-2516.0,4549.0,1404.0,229.0,0.0,0.0,0.0,0.0,,
2016/07/20,19.54,19.6,19.45,19.53,5102.0,99616.0,0.1025,12.2718,602.0,0.0,0.0,-2027.0,-2027.0,5134.0,920.0,335.0,0.0,0.0,0.0,0.0,,
2016/07/21,19.44,19.45,19.27,19.34,4575.0,88476.0,-0.9729,9.4184,733.0,0.0,0.0,-2104.0,-2104.0,5944.0,937.0,127.0,0.0,0.0,0.0,0.0,,
2016/07/22,19.38,19.44,19.34,19.43,6822.0,132336.0,0.4654,14.0443,367.0,0.0,0.0,-839.0,-839.0,6187.0,682.0,439.0,0.0,0.0,0.0,0.0,,
2016/07/25,19.34,19.7,19.24,19.52,14977.0,292494.0,0.4632,29.3235,966.0,6.0,0.0,-1395.0,-1389.0,7074.0,1223.0,336.0,0.0,0.0,0.0,0.0,,
2016/07/26,19.52,19.59,19.4,19.4,6287.0,122413.0,-0.6148,11.8455,639.0,-200.0,0.0,-1210.0,-1410.0,6906.0,278.0,446.0,0.0,0.0,0.0,0.0,,
2016/07/27,19.29,19.38,19.22,19.32,8270.0,159574.0,-0.4124,15.0159,817.0,168.0,0.0,-3703.0,-3535.0,7547.0,663.0,22.0,0.0,1.0,1.0,0.0,,
2016/07/28,19.36,19.44,19.23,19.31,6790.0,131203.0,-0.0518,11.6918,583.0,0.0,0.0,-2162.0,-2162.0,8110.0,723.0,160.0,0.0,1.0,0.0,0.0,,
2016/07/29,19.32,19.44,19.28,19.43,5770.0,111827.0,0.6214,9.9354,508.0,0.0,0.0,-669.0,-669.0,8250.0,634.0,494.0,0.0,1.0,0.0,0.0,,
