年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2017/03/13,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017/03/14,19.95,19.95,19.9,19.9,1544.0,30757.0,0.0,15.2208,105.0,0.0,0.0,160.0,160.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/15,19.99,19.99,19.95,19.96,636.0,12694.0,0.3015,6.5948,49.0,0.0,0.0,105.0,105.0,22.0,10.0,1.0,0.0,0.0,0.0,0.0,,
2017/03/16,19.72,19.74,19.72,19.73,289.0,5703.0,-1.1523,2.9967,45.0,0.0,0.0,5.0,5.0,37.0,15.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/17,19.64,19.67,19.64,19.67,564.0,11082.0,-0.3041,5.8482,33.0,0.0,0.0,-314.0,-314.0,40.0,3.0,0.0,0.0,0.0,0.0,0.0,,
2017/03/20,19.61,19.65,19.61,19.62,360.0,7072.0,-0.2542,3.7329,38.0,0.0,0.0,-243.0,-243.0,95.0,65.0,10.0,0.0,0.0,0.0,0.0,,
2017/03/21,19.59,19.64,19.59,19.64,438.0,8601.0,0.1019,4.5417,22.0,0.0,0.0,34.0,34.0,95.0,0.0,0.0,0.0,3.0,3.0,0.0,,
2017/03/22,19.61,19.61,19.54,19.55,471.0,9213.0,-0.4582,4.8839,18.0,0.0,0.0,223.0,223.0,95.0,0.0,0.0,0.0,6.0,3.0,0.0,,
2017/03/23,19.56,19.56,19.54,19.54,423.0,8265.0,-0.0512,4.3861,20.0,0.0,0.0,-12.0,-12.0,95.0,0.0,0.0,0.0,6.0,0.0,0.0,,
2017/03/24,19.57,19.59,19.57,19.59,697.0,13653.0,0.2559,7.2273,13.0,0.0,0.0,24.0,24.0,95.0,0.0,0.0,0.0,6.0,0.0,0.0,,
2017/03/27,19.51,19.51,19.45,19.45,41.0,798.0,-0.7147,0.4251,22.0,0.0,0.0,-23.0,-23.0,95.0,0.0,0.0,0.0,7.0,1.0,0.0,,
2017/03/28,19.45,19.45,19.43,19.43,627.0,12182.0,-0.1028,6.5015,23.0,0.0,0.0,-23.0,-23.0,100.0,5.0,0.0,0.0,7.0,0.0,0.0,,
2017/03/29,19.54,19.56,19.54,19.55,183.0,3575.0,0.6176,1.8976,22.0,0.0,0.0,-16.0,-16.0,97.0,0.0,3.0,0.0,7.0,0.0,0.0,,
2017/03/30,19.62,19.63,19.61,19.61,878.0,17226.0,0.3069,9.1041,28.0,0.0,0.0,-44.0,-44.0,96.0,0.0,1.0,0.0,7.0,0.0,0.0,,
2017/03/31,19.69,19.73,19.69,19.7,47.0,926.0,0.4589,0.4873,21.0,0.0,0.0,-22.0,-22.0,95.0,0.0,1.0,0.0,7.0,0.0,0.0,,
2017/04/05,19.78,19.78,19.71,19.72,27.0,532.0,0.1015,0.28,10.0,0.0,0.0,6.0,6.0,95.0,0.0,0.0,0.0,7.0,0.0,0.0,,
2017/04/06,19.71,19.71,19.69,19.71,11.0,216.0,-0.0507,0.1141,6.0,0.0,0.0,3.0,3.0,95.0,0.0,0.0,0.0,7.0,0.0,0.0,,
2017/04/07,19.74,19.75,19.73,19.73,220.0,4340.0,0.1015,2.2812,7.0,0.0,0.0,16.0,16.0,95.0,0.0,0.0,0.0,7.0,0.0,0.0,,
2017/04/10,19.9,19.9,19.85,19.88,191.0,3795.0,0.7603,1.9805,18.0,0.0,0.0,-19.0,-19.0,158.0,65.0,2.0,0.0,7.0,0.0,0.0,,
2017/04/11,19.85,19.85,19.85,19.85,11.0,218.0,-0.1509,0.1141,4.0,0.0,0.0,-5.0,-5.0,158.0,0.0,0.0,0.0,7.0,0.0,0.0,,
2017/04/12,19.74,19.76,19.74,19.75,924.0,18257.0,-0.5038,9.5811,17.0,0.0,0.0,5.0,5.0,158.0,0.0,0.0,0.0,7.0,0.0,0.0,,
2017/04/13,19.66,19.66,19.62,19.63,126.0,2475.0,-0.6076,1.3065,16.0,0.0,0.0,-15.0,-15.0,158.0,0.0,0.0,7.0,0.0,0.0,0.0,,
2017/04/14,19.7,19.7,19.7,19.7,3.0,59.0,0.3566,0.0311,3.0,0.0,0.0,1.0,1.0,160.0,2.0,0.0,0.0,0.0,0.0,0.0,,
2017/04/17,19.67,19.68,19.67,19.67,1204.0,23694.0,-0.1523,12.4844,19.0,0.0,0.0,2.0,2.0,161.0,2.0,1.0,0.0,0.0,0.0,0.0,,
2017/04/18,19.65,19.67,19.65,19.67,1010.0,19856.0,0.0,10.4728,16.0,0.0,0.0,-1.0,-1.0,164.0,3.0,0.0,0.0,0.0,0.0,0.0,,
2017/04/19,19.54,19.55,19.53,19.55,631.0,12329.0,-0.6101,6.5429,18.0,0.0,0.0,-21.0,-21.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0,,
