年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2018/06/21,9.26,9.45,9.0,9.02,1225.0,11184.0,-9.8,0.4083,424.0,,,,,,,,,,,0.0,,
2018/06/22,9.13,9.2,9.02,9.1,536.0,4899.0,0.8869,0.1787,227.0,,,,,,,,,,,0.0,,
2018/06/25,9.1,9.19,9.0,9.1,452.0,4097.0,0.0,0.1507,116.0,,,,,,,,,,,0.0,,
2018/06/26,9.1,9.1,9.02,9.05,196.0,1775.0,-0.5495,0.0653,65.0,,,,,,,,,,,0.0,,
2018/06/27,9.06,9.07,9.0,9.05,275.0,2484.0,0.0,0.0917,84.0,,,,,,,,,,,0.0,,
2018/06/28,9.03,9.03,9.0,9.01,159.0,1433.0,-0.442,0.053,38.0,,,,,,,,,,,0.0,,
2018/06/29,9.01,9.01,8.57,9.0,421.0,3725.0,-0.111,0.1403,139.0,,,,,,,,,,,0.0,,
2018/07/02,8.99,8.99,8.72,8.85,208.0,1831.0,-1.6667,0.0693,66.0,,,,,,,,,,,0.0,,
2018/07/03,8.87,8.87,8.71,8.71,190.0,1663.0,-1.5819,0.0633,54.0,,,,,,,,,,,0.0,,
2018/07/04,8.78,8.78,8.71,8.73,39.0,340.0,0.2296,0.013,17.0,,,,,,,,,,,0.0,,
2018/07/05,8.7,8.72,8.7,8.7,113.0,983.0,-0.3436,0.0377,24.0,,,,,,,,,,,0.0,,
2018/07/06,8.71,8.71,8.65,8.65,100.0,868.0,-0.5747,0.0333,20.0,,,,,,,,,,,0.0,,
2018/07/09,8.65,8.72,8.65,8.71,137.0,1189.0,0.6936,0.0457,16.0,,,,,,,,,,,0.0,,
2018/07/10,8.66,8.68,8.65,8.67,357.0,3096.0,-0.4592,0.119,66.0,,,,,,,,,,,0.0,,
2018/07/11,8.67,8.69,8.66,8.66,56.0,486.0,-0.1153,0.0187,15.0,,,,,,,,,,,0.0,,
2018/07/12,8.63,8.65,8.56,8.56,97.0,834.0,-1.1547,0.0323,44.0,,,,,,,,,,,0.0,,
2018/07/13,8.6,8.88,8.5,8.88,85.0,736.0,3.7383,0.0283,30.0,,,,,,,,,,,0.0,,
2018/07/16,8.87,8.87,8.68,8.85,22.0,192.0,-0.3378,0.0073,10.0,,,,,,,,,,,0.0,,
2018/07/17,8.77,8.77,8.72,8.72,37.0,324.0,-1.4689,0.0123,16.0,,,,,,,,,,,0.0,,
2018/07/18,8.65,8.72,8.64,8.72,113.0,984.0,0.0,0.0377,33.0,,,,,,,,,,,0.0,,
2018/07/19,8.71,8.71,8.65,8.65,11.0,95.0,-0.8028,0.0037,10.0,,,,,,,,,,,0.0,,
2018/07/20,8.65,8.65,8.58,8.59,55.0,472.0,-0.6936,0.0183,22.0,,,,,,,,,,,0.0,,
2018/07/23,8.6,8.6,8.58,8.59,169.0,1450.0,0.0,0.0563,38.0,,,,,,,,,,,0.0,,
2018/07/24,8.59,8.65,8.59,8.62,61.0,526.0,0.3492,0.0203,22.0,,,,,,,,,,,0.0,,
2018/07/25,8.68,8.71,8.68,8.7,39.0,339.0,0.9281,0.013,20.0,,,,,,,,,,,0.0,,
2018/07/26,8.8,8.8,8.69,8.69,24.0,210.0,-0.1149,0.008,11.0,,,,,,,,,,,0.0,,
2018/07/27,8.69,8.76,8.69,8.7,17.0,147.0,0.1151,0.0057,8.0,,,,,,,,,,,0.0,,
2018/07/30,8.7,8.7,8.65,8.7,38.0,329.0,0.0,0.0127,14.0,,,,,,,,,,,0.0,,
2018/07/31,8.7,8.7,8.65,8.69,128.0,1109.0,-0.1149,0.0427,37.0,,,,,,,,,,,0.0,,
2018/08/01,8.66,8.74,8.61,8.74,154.0,1332.0,0.5754,0.0513,33.0,,,,,,,,,,,0.0,,
2018/08/02,8.69,8.7,8.65,8.65,40.0,346.0,-1.0297,0.0133,11.0,,,,,,,,,,,0.0,,
2018/08/03,8.68,8.68,8.65,8.66,70.0,606.0,0.1156,0.0233,16.0,,,,,,,,,,,0.0,,
2018/08/06,8.65,8.66,8.65,8.66,14.0,121.0,0.0,0.0047,9.0,,,,,,,,,,,0.0,,
2018/08/07,8.66,8.67,8.65,8.65,88.0,761.0,-0.1155,0.0293,21.0,,,,,,,,,,,0.0,,
2018/08/08,8.65,8.65,8.65,8.65,10.0,86.0,0.0,0.0033,4.0,,,,,,,,,,,0.0,,
2018/08/09,8.65,8.68,8.62,8.62,86.0,742.0,-0.3468,0.0287,24.0,,,,,,,,,,,0.0,,
2018/08/10,8.62,8.72,8.58,8.58,134.0,1152.0,-0.464,0.0447,33.0,,,,,,,,,,,0.0,,
2018/08/13,8.58,8.6,8.5,8.54,245.0,2092.0,-0.4662,0.0817,63.0,,,,,,,,,,,0.0,,
2018/08/14,8.51,8.51,8.39,8.51,160.0,1349.0,-0.3513,0.0533,33.0,,,,,,,,,,,0.0,,
2018/08/15,8.5,8.51,8.5,8.51,50.0,425.0,0.0,0.0167,18.0,,,,,,,,,,,0.0,,
2018/08/16,8.51,8.51,8.4,8.44,243.0,2052.0,-0.8226,0.081,52.0,,,,,,,,,,,0.0,,
2018/08/17,8.44,8.58,8.44,8.44,13.0,109.0,0.0,0.0043,6.0,,,,,,,,,,,0.0,,
2018/08/20,8.46,8.46,8.46,8.46,14.0,118.0,0.237,0.0047,5.0,,,,,,,,,,,0.0,,
2018/08/21,8.46,8.59,8.46,8.5,45.0,382.0,0.4728,0.015,13.0,,,,,,,,,,,0.0,,
2018/08/22,8.53,8.63,8.53,8.61,9.0,77.0,1.2941,0.003,6.0,,,,,,,,,,,0.0,,
2018/08/23,8.55,8.63,8.5,8.5,90.0,767.0,-1.2776,0.03,29.0,,,,,,,,,,,0.0,,
2018/08/24,8.51,8.51,8.45,8.5,117.0,992.0,0.0,0.039,19.0,,,,,,,,,,,0.0,,
2018/08/27,8.6,8.6,8.57,8.57,12.0,103.0,0.8235,0.004,4.0,,,,,,,,,,,0.0,,
2018/08/28,8.58,8.58,8.5,8.57,270.0,2297.0,0.0,0.09,35.0,,,,,,,,,,,0.0,,
2018/08/29,8.59,8.6,8.56,8.6,25.0,214.0,0.3501,0.0083,12.0,,,,,,,,,,,0.0,,
2018/08/30,8.6,8.6,8.5,8.52,249.0,2125.0,-0.9302,0.083,27.0,,,,,,,,,,,0.0,,
2018/08/31,8.53,8.59,8.48,8.52,287.0,2442.0,0.0,0.0957,40.0,,,,,,,,,,,0.0,,
2018/09/03,8.52,8.58,8.48,8.52,280.0,2383.0,0.0,0.0933,39.0,,,,,,,,,,,0.0,,
2018/09/04,8.5,8.5,8.5,8.5,6.0,51.0,-0.2347,0.002,3.0,,,,,,,,,,,0.0,,
2018/09/05,8.58,8.58,8.45,8.47,366.0,3105.0,-0.3529,0.122,37.0,,,,,,,,,,,0.0,,
2018/09/06,8.51,8.51,8.51,8.51,7.0,59.0,0.4723,0.0023,2.0,,,,,,,,,,,0.0,,
2018/09/07,8.51,8.52,8.5,8.5,22.0,187.0,-0.1175,0.0073,10.0,,,,,,,,,,,0.0,,
2018/09/10,8.57,8.57,8.4,8.46,375.0,3172.0,-0.4706,0.125,36.0,,,,,,,,,,,0.0,,
2018/09/11,8.5,8.55,8.4,8.46,515.0,4346.0,0.0,0.1717,41.0,,,,,,,,,,,0.0,,
2018/09/12,8.45,8.55,8.45,8.55,13.0,110.0,1.0638,0.0043,5.0,,,,,,,,,,,0.0,,
