年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2020/04/16,5.3,5.3,5.3,5.3,2.0,10.0,6.0,0.004,1.0,0.0,0.0,-2.0,-2.0,,,,,,,,,
2020/04/17,5.53,5.53,5.48,5.48,70.0,384.0,3.3962,0.14,6.0,0.0,0.0,-70.0,-70.0,,,,,,,,,
2020/04/20,5.51,5.51,5.42,5.47,12.0,65.0,-0.1825,0.024,4.0,0.0,0.0,-12.0,-12.0,,,,,,,,,
2020/04/21,5.41,5.41,5.19,5.21,84.0,437.0,-4.7532,0.168,13.0,0.0,0.0,28.0,28.0,,,,,,,,,
2020/04/22,5.03,5.07,5.03,5.04,25.0,126.0,-3.263,0.05,5.0,0.0,0.0,-21.0,-21.0,,,,,,,,,
2020/04/23,5.34,5.34,5.19,5.29,30.0,157.0,4.9603,0.06,8.0,0.0,0.0,18.0,18.0,,,,,,,,,
2020/04/24,5.29,5.3,5.29,5.3,2.0,10.0,0.189,0.004,2.0,0.0,0.0,-1.0,-1.0,,,,,,,,,
2020/04/27,5.45,5.56,5.42,5.56,15.0,82.0,4.9057,0.03,6.0,0.0,0.0,10.0,10.0,,,,,,,,,
2020/04/28,5.6,5.61,5.55,5.56,66.0,368.0,0.0,0.132,7.0,0.0,0.0,-44.0,-44.0,,,,,,,,,
2020/04/29,5.72,5.73,5.71,5.71,62.0,354.0,2.6978,0.124,8.0,0.0,0.0,48.0,48.0,,,,,,,,,
2020/04/30,5.85,5.85,5.85,5.85,6.0,35.0,2.4518,0.012,2.0,0.0,0.0,6.0,6.0,,,,,,,,,
2020/05/04,5.55,5.59,5.55,5.56,48.0,266.0,-4.9573,0.096,3.0,0.0,0.0,-48.0,-48.0,,,,,,,,,
2020/05/05,5.74,5.82,5.74,5.76,49.0,284.0,3.5971,0.098,4.0,0.0,0.0,47.0,47.0,,,,,,,,,
2020/05/06,5.74,5.81,5.68,5.8,84.0,480.0,0.6944,0.168,17.0,0.0,0.0,-82.0,-82.0,,,,,,,,,
2020/05/07,5.9,5.9,5.84,5.84,68.0,399.0,0.6897,0.136,4.0,0.0,0.0,64.0,64.0,,,,,,,,,
2020/05/08,6.06,6.08,6.0,6.04,156.0,936.0,3.4247,0.312,17.0,0.0,0.0,-152.0,-152.0,,,,,,,,,
2020/05/11,6.12,6.18,6.09,6.18,143.0,876.0,2.3179,0.286,7.0,0.0,0.0,133.0,133.0,,,,,,,,,
2020/05/12,6.02,6.08,5.95,5.99,199.0,1193.0,-3.0744,0.398,23.0,0.0,0.0,-199.0,-199.0,,,,,,,,,
2020/05/13,5.9,6.06,5.86,6.06,244.0,1458.0,1.1686,0.488,14.0,0.0,0.0,-211.0,-211.0,,,,,,,,,
2020/05/14,5.88,5.88,5.88,5.88,3.0,17.0,-2.9703,0.006,1.0,0.0,0.0,-3.0,-3.0,,,,,,,,,
2020/05/15,5.92,5.92,5.7,5.84,7.0,40.0,-0.6803,0.014,6.0,0.0,0.0,-7.0,-7.0,,,,,,,,,
2020/05/18,5.62,5.62,5.5,5.5,19.0,105.0,-5.8219,0.038,7.0,0.0,0.0,-19.0,-19.0,,,,,,,,,
2020/05/19,5.69,5.69,5.61,5.61,11.0,62.0,2.0,0.022,3.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/05/20,5.63,5.63,5.63,5.63,1.0,5.0,0.3565,0.002,1.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/05/21,5.64,5.64,5.6,5.6,5.0,28.0,-0.5329,0.01,3.0,0.0,0.0,-1.0,-1.0,,,,,,,,,
2020/05/22,5.48,5.49,5.39,5.4,114.0,617.0,-3.5714,0.228,6.0,0.0,0.0,-112.0,-112.0,,,,,,,,,
2020/05/25,5.32,5.47,5.32,5.47,21.0,111.0,1.2963,0.042,4.0,0.0,0.0,-21.0,-21.0,,,,,,,,,
2020/05/26,5.61,5.61,5.6,5.6,94.0,526.0,2.3766,0.188,4.0,0.0,0.0,90.0,90.0,,,,,,,,,
2020/05/27,5.61,5.61,5.58,5.58,21.0,117.0,-0.3571,0.042,4.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/05/28,5.62,5.62,5.52,5.52,42.0,234.0,-1.0753,0.084,3.0,0.0,0.0,22.0,22.0,,,,,,,,,
2020/05/29,5.51,5.57,5.51,5.57,407.0,2242.0,0.9058,0.814,3.0,0.0,0.0,403.0,403.0,,,,,,,,,
2020/06/01,5.71,5.8,5.71,5.8,5.0,28.0,4.1293,0.01,4.0,0.0,0.0,4.0,4.0,,,,,,,,,
2020/06/02,5.91,5.91,5.91,5.91,2.0,11.0,1.8966,0.004,1.0,0.0,0.0,2.0,2.0,,,,,,,,,
2020/06/03,6.06,6.07,6.06,6.07,11.0,66.0,2.7073,0.022,2.0,0.0,0.0,11.0,11.0,,,,,,,,,
2020/06/04,6.27,6.27,6.21,6.25,8.0,50.0,2.9654,0.016,4.0,0.0,0.0,4.0,4.0,,,,,,,,,
2020/06/05,6.32,6.32,6.28,6.31,15.0,94.0,0.96,0.03,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2020/06/08,6.4,6.44,6.34,6.42,86.0,551.0,1.7433,0.172,14.0,0.0,0.0,-20.0,-20.0,,,,,,,,,
2020/06/09,6.42,6.49,6.37,6.42,32.0,206.0,0.0,0.064,8.0,0.0,0.0,-20.0,-20.0,,,,,,,,,
2020/06/10,6.49,6.49,6.49,6.49,6.0,38.0,1.0903,0.012,2.0,0.0,0.0,6.0,6.0,,,,,,,,,
2020/06/11,6.57,6.57,6.27,6.28,66.0,416.0,-3.2357,0.132,11.0,0.0,0.0,38.0,38.0,,,,,,,,,
2020/06/12,6.12,6.18,6.07,6.18,37.0,226.0,-1.5924,0.074,8.0,0.0,0.0,-17.0,-17.0,,,,,,,,,
2020/06/15,6.12,6.15,6.05,6.05,27.0,165.0,-2.1036,0.054,5.0,0.0,0.0,3.0,3.0,,,,,,,,,
2020/06/16,6.31,6.32,6.29,6.31,10.0,63.0,4.2975,0.02,4.0,0.0,0.0,-8.0,-8.0,,,,,,,,,
2020/06/17,6.37,6.37,6.29,6.29,3.0,18.0,-0.317,0.006,3.0,0.0,0.0,-1.0,-1.0,,,,,,,,,
2020/06/18,6.35,6.37,6.35,6.37,20.0,127.0,1.2719,0.04,3.0,0.0,0.0,-20.0,-20.0,,,,,,,,,
2020/06/19,6.47,6.47,6.43,6.43,2.0,12.0,0.9419,0.004,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2020/06/22,6.46,6.52,6.46,6.52,12.0,77.0,1.3997,0.024,5.0,0.0,0.0,10.0,10.0,,,,,,,,,
2020/06/23,6.61,6.61,6.49,6.54,11.0,71.0,0.3067,0.022,5.0,0.0,0.0,5.0,5.0,,,,,,,,,
2020/06/24,6.61,6.63,6.61,6.63,25.0,165.0,1.3761,0.05,6.0,0.0,0.0,-17.0,-17.0,,,,,,,,,
2020/06/29,6.55,6.55,6.49,6.49,26.0,168.0,-2.1116,0.052,3.0,0.0,0.0,24.0,24.0,,,,,,,,,
2020/06/30,6.49,6.49,6.49,6.49,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2020/07/01,6.7,6.73,6.7,6.73,2.0,13.0,3.698,0.004,2.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/07/02,6.78,6.85,6.78,6.85,24.0,164.0,1.7831,0.048,2.0,0.0,0.0,22.0,22.0,,,,,,,,,
2020/07/03,7.0,7.02,6.98,7.01,5.0,34.0,2.3358,0.01,4.0,0.0,0.0,-3.0,-3.0,,,,,,,,,
2020/07/06,7.11,7.21,7.11,7.21,19.0,136.0,2.8531,0.038,6.0,0.0,0.0,-3.0,-3.0,,,,,,,,,
2020/07/07,7.37,7.37,7.37,7.37,1.0,7.0,2.2191,0.002,1.0,0.0,0.0,-1.0,-1.0,,,,,,,,,
2020/07/08,7.2,7.25,7.2,7.22,10.0,72.0,-2.0353,0.02,5.0,0.0,0.0,10.0,10.0,,,,,,,,,
2020/07/09,7.38,7.38,7.27,7.27,19.0,138.0,0.6925,0.038,6.0,0.0,0.0,3.0,3.0,,,,,,,,,
2020/07/10,7.07,7.08,7.07,7.08,19.0,134.0,-2.6135,0.038,3.0,0.0,0.0,19.0,19.0,,,,,,,,,
2020/07/13,7.26,7.29,7.17,7.29,41.0,294.0,2.9661,0.082,10.0,0.0,0.0,-33.0,-33.0,,,,,,,,,
2020/07/14,7.29,7.29,7.26,7.26,6.0,43.0,-0.4115,0.012,2.0,0.0,0.0,-4.0,-4.0,,,,,,,,,
2020/07/15,7.3,7.3,7.3,7.3,5.0,36.0,0.551,0.01,1.0,0.0,0.0,5.0,5.0,,,,,,,,,
2020/07/16,7.3,7.3,7.3,7.3,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2020/07/17,7.32,7.39,7.26,7.26,5.0,36.0,-0.5479,0.01,4.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/07/20,7.31,7.31,7.31,7.31,10.0,73.0,0.6887,0.02,1.0,0.0,0.0,-10.0,-10.0,,,,,,,,,
2020/07/21,7.33,7.41,7.33,7.41,3.0,22.0,1.368,0.006,3.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/07/22,7.51,7.57,7.5,7.5,22.0,165.0,1.2146,0.044,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2020/07/23,7.47,7.47,7.41,7.41,2.0,14.0,-1.2,0.004,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
2020/07/24,7.14,7.25,7.14,7.25,30.0,215.0,-2.1592,0.06,3.0,0.0,0.0,10.0,10.0,,,,,,,,,
2020/07/27,7.5,7.5,7.5,7.5,15.0,112.0,3.4483,0.03,2.0,0.0,0.0,14.0,14.0,,,,,,,,,
2020/07/28,7.71,7.71,7.41,7.41,4.0,30.0,-1.2,0.008,4.0,0.0,0.0,0.0,0.0,,,,,,,,,
2020/07/29,7.46,7.46,7.46,7.46,1.0,7.0,0.6748,0.002,1.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/07/30,7.68,7.71,7.6,7.65,16.0,122.0,2.5469,0.032,4.0,0.0,0.0,6.0,6.0,,,,,,,,,
2020/07/31,7.75,7.87,7.75,7.87,25.0,196.0,2.8758,0.05,3.0,0.0,0.0,-25.0,-25.0,,,,,,,,,
2020/08/03,7.8,7.8,7.51,7.53,134.0,1016.0,-4.3202,0.268,17.0,0.0,0.0,-116.0,-116.0,,,,,,,,,
2020/08/04,7.63,7.67,7.57,7.67,84.0,641.0,1.8592,0.168,5.0,0.0,0.0,84.0,84.0,,,,,,,,,
2020/08/05,7.77,7.77,7.75,7.75,26.0,201.0,1.043,0.052,3.0,0.0,0.0,18.0,18.0,,,,,,,,,
2020/08/06,7.98,7.98,7.88,7.88,3.0,23.0,1.6774,0.006,3.0,0.0,0.0,-1.0,-1.0,,,,,,,,,
2020/08/07,7.79,7.8,7.79,7.8,3.0,23.0,-1.0152,0.006,2.0,0.0,0.0,-3.0,-3.0,,,,,,,,,
2020/08/10,7.82,7.82,7.82,7.82,1.0,7.0,0.2564,0.002,1.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/08/11,7.82,7.82,7.82,7.82,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2020/08/12,7.67,7.67,7.67,7.67,0.0,0.0,-1.9182,0.0,0.0,,,,,,,,,,,,,
2020/08/13,7.58,7.58,7.58,7.58,0.0,0.0,-1.1734,0.0,0.0,,,,,,,,,,,,,
2020/08/14,7.55,7.55,7.55,7.55,0.0,0.0,-0.3958,0.0,0.0,,,,,,,,,,,,,
2020/08/17,7.91,7.91,7.91,7.91,39.0,308.0,4.7682,0.078,1.0,0.0,0.0,39.0,39.0,,,,,,,,,
2020/08/18,7.73,7.73,7.73,7.73,10.0,77.0,-2.2756,0.02,1.0,0.0,0.0,10.0,10.0,,,,,,,,,
2020/08/19,7.71,7.71,7.53,7.54,19.0,143.0,-2.458,0.038,4.0,0.0,0.0,-17.0,-17.0,,,,,,,,,
2020/08/20,7.38,7.38,6.77,6.77,120.0,829.0,-10.2122,0.24,21.0,0.0,0.0,-85.0,-85.0,,,,,,,,,
2020/08/21,6.77,6.77,6.77,6.77,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2020/08/24,7.05,7.12,7.05,7.12,49.0,348.0,5.1699,0.098,2.0,0.0,0.0,49.0,49.0,,,,,,,,,
2020/08/25,7.2,7.2,7.2,7.2,1.0,7.0,1.1236,0.002,1.0,0.0,0.0,1.0,1.0,,,,,,,,,
2020/08/26,7.23,7.23,7.18,7.18,6.0,43.0,-0.2778,0.012,3.0,0.0,0.0,-6.0,-6.0,,,,,,,,,
2020/08/27,7.25,7.25,7.1,7.11,8.0,57.0,-0.9749,0.016,5.0,0.0,0.0,-6.0,-6.0,,,,,,,,,
2020/08/28,7.0,7.05,7.0,7.0,8.0,56.0,-1.5471,0.016,3.0,0.0,0.0,-4.0,-4.0,,,,,,,,,
2020/08/31,7.07,7.08,6.94,6.94,4.0,28.0,-0.8571,0.008,3.0,0.0,0.0,2.0,2.0,,,,,,,,,
2020/09/01,6.82,7.0,6.82,7.0,21.0,146.0,0.8646,0.042,4.0,0.0,0.0,-11.0,-11.0,,,,,,,,,
2020/09/02,7.0,7.0,7.0,7.0,25.0,175.0,0.0,0.05,1.0,0.0,0.0,-25.0,-25.0,,,,,,,,,
2020/09/03,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
2020/09/04,6.85,6.86,6.8,6.86,18.0,123.0,-2.0,0.036,5.0,0.0,0.0,-16.0,-16.0,,,,,,,,,
