年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2018/04/23,60.4,60.9,60.4,60.8,5242.0,318023.0,1.3333,0.7863,2173.0,-8.0,723.0,-593.0,122.0,,,,,,,0.0,,
2018/04/24,60.7,61.0,60.7,60.8,3742.0,227880.0,0.0,0.5613,945.0,-45.0,1350.0,-833.0,472.0,,,,,,,0.0,,
2018/04/25,60.9,61.0,60.8,60.8,1564.0,95221.0,0.0,0.2346,624.0,0.0,300.0,-810.0,-510.0,,,,,,,0.0,,
2018/04/26,60.8,60.9,60.6,60.7,1566.0,95158.0,-0.1645,0.2349,658.0,-344.0,500.0,-832.0,-676.0,,,,,,,0.0,,
2018/04/27,60.7,60.8,60.7,60.7,1305.0,79324.0,0.0,0.1958,654.0,0.0,60.0,-825.0,-765.0,,,,,,,0.0,,
2018/04/30,60.7,60.9,60.7,60.8,666.0,40496.0,0.1647,0.0999,354.0,-1.0,0.0,-345.0,-346.0,,,,,,,0.0,,
2018/05/02,60.8,60.8,60.6,60.7,537.0,32656.0,-0.1645,0.0806,189.0,0.0,0.0,-336.0,-336.0,,,,,,,0.0,,
2018/05/03,60.7,60.8,60.6,60.7,810.0,49176.0,0.0,0.1215,181.0,-20.0,0.0,-326.0,-346.0,,,,,,,0.0,,
2018/05/04,60.7,60.8,60.6,60.7,900.0,54659.0,0.0,0.135,158.0,-7.0,0.0,8.0,1.0,,,,,,,0.0,,
2018/05/07,60.7,60.8,60.7,60.7,372.0,22609.0,0.0,0.0558,158.0,0.0,0.0,-20.0,-20.0,,,,,,,0.0,,
2018/05/08,60.7,60.8,60.6,60.6,929.0,56435.0,-0.1647,0.1394,230.0,7.0,0.0,0.0,7.0,,,,,,,0.0,,
2018/05/09,60.7,60.8,60.6,60.7,280.0,17023.0,0.165,0.042,86.0,0.0,0.0,-80.0,-80.0,,,,,,,0.0,,
2018/05/10,60.7,60.8,60.7,60.7,1066.0,64808.0,0.0,0.1599,214.0,1.0,0.0,267.0,268.0,,,,,,,0.0,,
2018/05/11,60.7,60.8,60.7,60.8,352.0,21420.0,0.1647,0.0528,191.0,0.0,0.0,56.0,56.0,,,,,,,0.0,,
2018/05/14,60.7,60.8,60.7,60.7,112.0,6817.0,-0.1645,0.0168,99.0,0.0,0.0,10.0,10.0,,,,,,,0.0,,
