年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2021/10/29,60.0,60.1,59.6,60.0,1944.0,116613.0,0.0,0.5832,2389.0,-42.0,0.0,5.0,-37.0,,,,,,,,,
2021/11/01,60.0,60.2,59.8,59.9,1613.0,96765.0,-0.1667,0.4839,1422.0,-584.0,0.0,112.0,-472.0,,,,,,,,,
2021/11/02,60.0,60.1,59.8,60.0,1174.0,70383.0,0.1669,0.3522,1152.0,-379.0,0.0,160.0,-219.0,,,,,,,,,
2021/11/03,60.0,60.0,59.9,59.9,628.0,37657.0,-0.1667,0.1884,502.0,-138.0,0.0,-181.0,-319.0,,,,,,,,,
2021/11/04,59.9,60.0,59.8,59.8,1074.0,64402.0,-0.1669,0.3222,767.0,-377.0,0.0,-208.0,-585.0,,,,,,,,,
2021/11/05,59.8,60.0,59.8,59.9,406.0,24334.0,0.1672,0.1218,714.0,-40.0,0.0,-21.0,-61.0,,,,,,,,,
2021/11/08,59.9,60.0,59.9,60.0,351.0,21056.0,0.1669,0.1053,515.0,-27.0,0.0,-14.0,-41.0,,,,,,,,,
2021/11/09,60.0,60.0,59.9,59.9,577.0,34586.0,-0.1667,0.1731,609.0,-196.0,0.0,-47.0,-243.0,,,,,,,,,
2021/11/10,59.9,60.0,59.9,59.9,208.0,12490.0,0.0,0.0624,316.0,4.0,0.0,-3.0,1.0,,,,,,,,,
2021/11/11,59.9,60.0,59.9,59.9,304.0,18249.0,0.0,0.0912,397.0,-5.0,0.0,-11.0,-16.0,,,,,,,,,
2021/11/12,59.9,60.0,59.9,60.0,663.0,39778.0,0.1669,0.1989,853.0,1.0,0.0,-102.0,-101.0,,,,,,,,,
2021/11/15,59.9,60.0,59.9,60.0,211.0,12653.0,0.0,0.0633,338.0,1.0,0.0,-30.0,-29.0,,,,,,,,,
2021/11/16,60.0,60.0,59.9,60.0,475.0,28500.0,0.0,0.1425,416.0,52.0,0.0,-60.0,-8.0,,,,,,,,,
2021/11/17,60.0,60.0,59.9,59.9,542.0,32525.0,-0.1667,0.1626,521.0,-154.0,0.0,-30.0,-184.0,,,,,,,,,
2021/11/18,59.9,60.0,59.9,59.9,489.0,29351.0,0.0,0.1467,520.0,-300.0,0.0,-30.0,-330.0,,,,,,,,,
2021/11/19,59.9,60.0,59.9,59.9,419.0,25131.0,0.0,0.1257,268.0,-303.0,0.0,0.0,-303.0,,,,,,,,,
2021/11/22,59.9,60.0,59.9,60.0,220.0,13196.0,0.1669,0.066,267.0,-21.0,0.0,-30.0,-51.0,,,,,,,,,
2021/11/23,60.0,60.0,59.9,60.0,171.0,10270.0,0.0,0.0513,204.0,2.0,0.0,-30.0,-28.0,,,,,,,,,
2021/11/24,60.0,60.0,59.9,60.0,216.0,13004.0,0.0,0.0648,268.0,-1.0,0.0,-50.0,-51.0,,,,,,,,,
2021/11/25,60.0,60.0,59.9,59.9,364.0,21880.0,-0.1667,0.1092,388.0,8.0,0.0,-50.0,-42.0,,,,,,,,,
2021/11/26,60.0,60.0,59.9,59.9,330.0,19800.0,0.0,0.099,374.0,7.0,0.0,-65.0,-58.0,,,,,,,,,
2021/11/29,59.9,60.0,59.9,60.0,261.0,15681.0,0.1669,0.0783,299.0,-2.0,0.0,-50.0,-52.0,,,,,,,,,
2021/11/30,60.0,60.1,60.0,60.0,168.0,10098.0,0.0,0.0504,228.0,-4.0,0.0,0.0,-4.0,,,,,,,,,
2021/12/01,60.0,60.1,60.0,60.0,119.0,7148.0,0.0,0.0357,153.0,-12.0,0.0,-20.0,-32.0,,,,,,,,,
2021/12/02,60.0,60.1,60.0,60.0,418.0,25105.0,0.0,0.1254,177.0,3.0,0.0,-323.0,-320.0,,,,,,,,,
2021/12/03,60.0,60.1,60.0,60.0,97.0,5856.0,0.0,0.0291,190.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/06,60.0,60.1,60.0,60.0,115.0,6928.0,0.0,0.0345,181.0,1.0,0.0,0.0,1.0,,,,,,,,,
2021/12/07,60.0,60.1,60.0,60.0,93.0,5598.0,0.0,0.0279,169.0,-8.0,0.0,0.0,-8.0,,,,,,,,,
2021/12/08,60.0,60.1,60.0,60.1,136.0,8165.0,0.1667,0.0408,218.0,-4.0,0.0,0.0,-4.0,,,,,,,,,
2021/12/09,60.0,60.1,60.0,60.1,243.0,14632.0,0.0,0.0729,291.0,-9.0,0.0,-25.0,-34.0,,,,,,,,,
2021/12/10,60.1,60.1,60.0,60.0,124.0,7451.0,-0.1664,0.0372,133.0,6.0,0.0,-25.0,-19.0,,,,,,,,,
2021/12/13,60.0,60.1,60.0,60.0,101.0,6061.0,0.0,0.0303,133.0,-4.0,0.0,0.0,-4.0,,,,,,,,,
2021/12/14,60.0,60.1,60.0,60.0,101.0,6074.0,0.0,0.0303,153.0,-38.0,0.0,0.0,-38.0,,,,,,,,,
2021/12/15,60.0,60.1,60.0,60.1,275.0,16563.0,0.1667,0.0825,240.0,-23.0,0.0,-25.0,-48.0,,,,,,,,,
2021/12/16,60.1,60.2,60.1,60.1,67.0,4053.0,0.0,0.0201,152.0,1.0,0.0,0.0,1.0,,,,,,,,,
2021/12/17,60.1,60.2,60.1,60.2,134.0,8107.0,0.1664,0.0402,173.0,4.0,0.0,-12.0,-8.0,,,,,,,,,
2021/12/20,60.2,60.2,60.1,60.1,113.0,6828.0,-0.1661,0.0339,133.0,-1.0,0.0,-18.0,-19.0,,,,,,,,,
2021/12/21,60.1,60.2,60.1,60.1,98.0,5931.0,0.0,0.0294,167.0,0.0,0.0,0.0,0.0,,,,,,,,,
2021/12/22,60.1,60.2,60.1,60.1,68.0,4120.0,0.0,0.0204,124.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
2021/12/23,60.1,60.2,60.1,60.1,90.0,5452.0,0.0,0.027,152.0,-5.0,0.0,0.0,-5.0,,,,,,,,,
2021/12/24,60.1,60.2,60.1,60.1,139.0,8404.0,0.0,0.0417,149.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
2021/12/27,60.1,60.2,60.1,60.1,144.0,8664.0,0.0,0.0432,201.0,4.0,0.0,0.0,4.0,,,,,,,,,
2021/12/28,60.2,60.2,60.1,60.2,94.0,5676.0,0.1664,0.0282,165.0,2.0,0.0,0.0,2.0,,,,,,,,,
2021/12/29,60.2,60.2,60.1,60.1,121.0,7293.0,-0.1661,0.0363,220.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
