年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2022/07/26,16.35,17.1,15.95,16.8,13289.0,218293.0,-4.8159,4.4297,661.0,-2085.0,0.0,-700.0,-2785.0,,,,,,,,,
2022/07/27,16.6,16.7,16.5,16.6,1525.0,25325.0,-1.1905,0.5083,317.0,-12.0,0.0,-200.0,-212.0,,,,,,,,,
2022/07/28,16.55,16.65,16.45,16.55,1691.0,28046.0,-0.3012,0.5637,217.0,0.0,0.0,-417.0,-417.0,,,,,,,,,
2022/07/29,16.55,16.7,16.55,16.6,1858.0,30923.0,0.3021,0.6193,158.0,-155.0,0.0,-200.0,-355.0,,,,,,,,,
2022/08/01,16.6,16.8,16.55,16.65,1114.0,18539.0,0.3012,0.3713,138.0,0.0,0.0,-200.0,-200.0,,,,,,,,,
2022/08/02,16.65,16.7,16.65,16.65,745.0,12418.0,0.0,0.2483,72.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/08/03,16.65,16.75,16.65,16.7,427.0,7138.0,0.3003,0.1423,70.0,-12.0,0.0,-200.0,-212.0,,,,,,,,,
2022/08/04,16.7,16.75,16.7,16.7,722.0,12066.0,0.0,0.2407,69.0,0.0,0.0,-458.0,-458.0,,,,,,,,,
2022/08/05,16.75,16.85,16.75,16.75,561.0,9439.0,0.2994,0.187,75.0,0.0,0.0,-350.0,-350.0,,,,,,,,,
2022/08/08,16.8,16.8,16.7,16.7,913.0,15274.0,-0.2985,0.3043,87.0,0.0,0.0,-850.0,-850.0,,,,,,,,,
2022/08/09,16.75,16.8,16.7,16.8,457.0,7686.0,0.5988,0.1523,51.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/08/10,16.8,17.0,16.8,16.95,619.0,10448.0,0.8929,0.2063,73.0,0.0,0.0,-180.0,-180.0,,,,,,,,,
2022/08/11,17.0,17.4,16.95,17.2,1981.0,34143.0,1.4749,0.6603,134.0,0.0,0.0,-100.0,-100.0,,,,,,,,,
2022/08/12,17.2,17.35,17.2,17.25,1956.0,33826.0,0.2907,0.652,89.0,-802.0,0.0,0.0,-802.0,,,,,,,,,
2022/08/15,17.25,17.3,17.25,17.25,230.0,3973.0,0.0,0.0767,62.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/08/16,17.25,17.3,17.25,17.25,822.0,14193.0,0.0,0.274,75.0,-200.0,0.0,0.0,-200.0,,,,,,,,,
2022/08/17,17.25,17.3,17.2,17.2,1242.0,21428.0,-0.2899,0.414,66.0,-599.0,0.0,0.0,-599.0,,,,,,,,,
2022/08/18,17.25,17.25,17.2,17.25,535.0,9237.0,0.2907,0.1783,54.0,-300.0,0.0,0.0,-300.0,,,,,,,,,
2022/08/19,17.25,17.3,17.25,17.3,752.0,12976.0,0.2899,0.2507,45.0,-602.0,0.0,0.0,-602.0,,,,,,,,,
2022/08/22,17.25,17.3,17.2,17.2,1023.0,17642.0,-0.578,0.341,70.0,-304.0,0.0,0.0,-304.0,,,,,,,,,
2022/08/23,17.2,17.25,17.2,17.25,1136.0,19546.0,0.2907,0.3787,45.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
2022/08/24,17.2,17.2,17.15,17.2,1175.0,20199.0,-0.2899,0.3917,42.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/08/25,17.2,17.2,17.15,17.2,1185.0,20391.0,0.0,0.395,35.0,-800.0,0.0,0.0,-800.0,,,,,,,,,
2022/08/26,17.2,17.25,17.15,17.25,535.0,9202.0,0.2907,0.1783,42.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/08/29,17.2,17.2,17.15,17.15,118.0,2033.0,-0.5797,0.0393,25.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/08/30,17.15,17.2,17.15,17.2,91.0,1573.0,0.2915,0.0303,27.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/08/31,17.2,17.25,17.2,17.2,40.0,703.0,0.0,0.0133,24.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/09/01,17.2,17.2,17.05,17.05,106.0,1815.0,-0.8721,0.0353,39.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/09/02,17.05,17.15,17.05,17.1,86.0,1478.0,0.2933,0.0287,41.0,-19.0,0.0,0.0,-19.0,,,,,,,,,
2022/09/05,17.1,17.1,17.1,17.1,25.0,435.0,0.0,0.0083,17.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/09/06,17.1,17.1,17.1,17.1,33.0,579.0,0.0,0.011,26.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/09/07,17.1,17.15,17.1,17.15,82.0,1407.0,0.2924,0.0273,31.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/09/08,17.1,17.1,17.1,17.1,32.0,549.0,-0.2915,0.0107,29.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/09/12,17.1,17.1,17.05,17.1,126.0,2168.0,0.0,0.042,63.0,0.0,0.0,0.0,0.0,,,,,,,,,
