年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2004/12/21,17.9,17.9,17.9,17.9,287.0,5137.0,6.5476,0.5931,122.0,0.0,0.0,-114.0,-114.0,,,,,,,8.36,1.17,3.91
2004/12/22,19.1,19.1,19.1,19.1,1193.0,22786.0,6.7039,2.4652,776.0,0.0,0.0,-30.0,-30.0,,,,,,,8.93,1.25,3.66
2004/12/23,20.3,20.3,19.0,19.1,2406.0,47389.0,0.0,4.9718,1070.0,0.0,0.0,-4.0,-4.0,,,,,,,8.93,1.25,3.66
2004/12/24,19.1,19.1,18.4,18.6,817.0,15181.0,-2.6178,1.6883,291.0,0.0,0.0,0.0,0.0,,,,,,,8.69,1.22,3.76
2004/12/27,18.7,19.2,18.4,18.4,389.0,7274.0,-1.0753,0.8038,90.0,0.0,0.0,0.0,0.0,,,,,,,8.6,1.2,3.8
2004/12/28,18.4,18.6,18.2,18.6,355.0,6556.0,1.087,0.7336,79.0,0.0,0.0,-1.0,-1.0,,,,,,,8.69,1.22,3.76
2004/12/29,18.6,18.8,18.5,18.7,307.0,5727.0,0.5376,0.6344,87.0,0.0,0.0,0.0,0.0,,,,,,,8.74,1.22,3.74
2004/12/30,18.5,18.7,18.5,18.7,331.0,6183.0,0.0,0.684,91.0,0.0,30.0,0.0,30.0,,,,,,,8.74,1.22,3.74
2004/12/31,18.7,18.7,18.4,18.4,110.0,2039.0,-1.6043,0.2273,46.0,0.0,10.0,0.0,10.0,,,,,,,8.6,1.2,3.8
2005/01/03,18.4,19.0,18.0,18.9,427.0,7888.0,2.7174,0.8824,113.0,0.0,53.0,240.0,293.0,,,,,,,8.83,1.24,3.7
2005/01/04,18.8,18.8,18.5,18.5,161.0,2997.0,-2.1164,0.3327,48.0,0.0,23.0,-7.0,16.0,,,,,,,8.64,1.21,3.78
2005/01/05,18.4,18.7,18.3,18.6,179.0,3315.0,0.5405,0.3699,33.0,0.0,0.0,80.0,80.0,,,,,,,8.69,1.22,3.76
2005/01/06,18.6,18.6,18.2,18.2,136.0,2487.0,-2.1505,0.281,40.0,0.0,35.0,5.0,40.0,,,,,,,8.5,1.19,3.85
2005/01/07,18.2,18.2,18.1,18.1,112.0,2033.0,-0.5495,0.2314,20.0,0.0,0.0,2.0,2.0,,,,,,,8.46,1.18,3.87
