年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,成交筆數(筆),外資買賣超(千股),投信買賣超(千股),自營買賣超(千股),合計買賣超(千股),融資餘額(張),融資買進(張),融資賣出(張),融券買進(張),融券餘額(張),融券賣出(張),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE
2022/03/07,42.5,43.8,41.0,42.2,1952.0,83174.0,-6.2222,6.5067,798.0,,,,,,,,,,,,,
2022/03/08,42.0,42.0,41.7,41.75,688.0,28773.0,-1.0664,2.2933,346.0,-2.0,0.0,0.0,-2.0,,,,,,,,,
2022/03/09,41.85,42.35,41.85,42.15,137.0,5813.0,0.9581,0.4567,176.0,-4.0,0.0,0.0,-4.0,,,,,,,,,
2022/03/10,42.2,42.3,42.15,42.2,188.0,7951.0,0.1186,0.6267,165.0,-3.0,0.0,-10.0,-13.0,,,,,,,,,
2022/03/11,42.2,42.25,41.75,41.95,331.0,13916.0,-0.5924,1.1033,274.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/14,42.0,42.2,41.8,41.85,115.0,4840.0,-0.2384,0.3833,142.0,-9.0,0.0,0.0,-9.0,,,,,,,,,
2022/03/15,41.9,41.9,41.65,41.7,104.0,4374.0,-0.3584,0.3467,108.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/16,41.8,41.8,41.5,41.6,262.0,10930.0,-0.2398,0.8733,152.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/17,41.6,41.65,41.2,41.45,517.0,21423.0,-0.3606,1.7233,271.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/18,41.45,41.45,41.15,41.15,511.0,21096.0,-0.7238,1.7033,253.0,-16.0,0.0,-138.0,-154.0,,,,,,,,,
2022/03/21,41.15,41.25,41.1,41.2,224.0,9235.0,0.1215,0.7467,182.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/22,41.2,41.3,41.2,41.3,62.0,2564.0,0.2427,0.2067,64.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/23,41.75,41.75,41.45,41.55,47.0,1965.0,0.6053,0.1567,76.0,0.0,0.0,-4.0,-4.0,,,,,,,,,
2022/03/24,41.55,41.75,41.55,41.7,41.0,1741.0,0.361,0.1367,64.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/25,41.7,41.85,41.7,41.7,37.0,1559.0,0.0,0.1233,55.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
2022/03/28,41.7,41.7,41.55,41.6,55.0,2307.0,-0.2398,0.1833,53.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/29,41.6,41.7,41.5,41.5,81.0,3398.0,-0.2404,0.27,68.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/30,41.9,41.9,41.5,41.65,66.0,2782.0,0.3614,0.22,67.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/03/31,41.8,42.15,41.65,41.95,193.0,8108.0,0.7203,0.6433,98.0,0.0,0.0,-60.0,-60.0,,,,,,,,,
2022/04/01,41.95,41.95,41.85,41.9,44.0,1852.0,-0.1192,0.1467,48.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/06,41.85,41.85,41.8,41.8,199.0,8339.0,-0.2387,0.6633,108.0,2.0,0.0,0.0,2.0,,,,,,,,,
2022/04/07,41.8,41.8,41.65,41.65,64.0,2689.0,-0.3589,0.2133,79.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/08,41.65,41.8,41.6,41.65,115.0,4830.0,0.0,0.3833,66.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/11,41.65,41.85,41.5,41.55,89.0,3702.0,-0.2401,0.2967,59.0,1.0,0.0,0.0,1.0,,,,,,,,,
2022/04/12,41.55,41.55,41.45,41.5,36.0,1510.0,-0.1203,0.12,49.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/13,41.5,41.55,41.4,41.5,37.0,1567.0,0.0,0.1233,46.0,1.0,0.0,0.0,1.0,,,,,,,,,
2022/04/14,41.5,41.5,41.45,41.45,16.0,700.0,-0.1205,0.0533,31.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/15,41.45,41.5,41.4,41.5,27.0,1158.0,0.1206,0.09,43.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/18,41.55,41.55,41.4,41.4,50.0,2104.0,-0.241,0.1667,43.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
2022/04/19,41.45,41.5,41.4,41.5,24.0,1020.0,0.2415,0.08,41.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
2022/04/20,41.5,41.5,41.4,41.45,44.0,1837.0,-0.1205,0.1467,35.0,-1.0,0.0,-32.0,-33.0,,,,,,,,,
2022/04/21,41.45,41.45,41.35,41.45,78.0,3246.0,0.0,0.26,69.0,-62.0,0.0,0.0,-62.0,,,,,,,,,
2022/04/22,41.35,41.35,41.15,41.3,186.0,7677.0,-0.3619,0.62,104.0,-106.0,0.0,0.0,-106.0,,,,,,,,,
2022/04/25,41.2,41.3,41.15,41.15,78.0,3217.0,-0.3632,0.26,70.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/26,41.2,41.2,41.15,41.2,14.0,581.0,0.1215,0.0467,29.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/27,41.15,41.2,41.1,41.2,52.0,2153.0,0.0,0.1733,73.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/28,41.15,41.2,41.15,41.15,19.0,817.0,-0.1214,0.0633,40.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/04/29,41.2,41.3,41.2,41.3,20.0,852.0,0.3645,0.0667,37.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/03,41.3,41.3,41.25,41.3,22.0,926.0,0.0,0.0733,20.0,-3.0,0.0,0.0,-3.0,,,,,,,,,
2022/05/04,41.3,41.3,41.2,41.2,88.0,3642.0,-0.2421,0.2933,65.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/05,41.2,41.4,41.0,41.2,153.0,6312.0,0.0,0.51,77.0,-124.0,0.0,0.0,-124.0,,,,,,,,,
2022/05/06,41.1,41.1,41.0,41.1,139.0,5714.0,-0.2427,0.4633,81.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/09,41.1,41.1,41.0,41.05,46.0,1916.0,-0.1217,0.1533,60.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/10,41.05,41.1,41.0,41.1,137.0,5646.0,0.1218,0.4567,56.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/11,41.0,41.1,41.0,41.1,64.0,2662.0,0.0,0.2133,18.0,2.0,0.0,0.0,2.0,,,,,,,,,
2022/05/12,41.0,41.1,40.95,41.1,129.0,5296.0,0.0,0.43,54.0,-3.0,0.0,0.0,-3.0,,,,,,,,,
2022/05/13,41.1,41.1,41.0,41.1,18.0,771.0,0.0,0.06,25.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/16,41.1,41.1,40.95,41.0,54.0,2249.0,-0.2433,0.18,44.0,-2.0,0.0,0.0,-2.0,,,,,,,,,
2022/05/17,41.0,41.05,40.95,41.0,50.0,2084.0,0.0,0.1667,49.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/18,41.0,41.1,40.95,41.05,37.0,1522.0,0.122,0.1233,44.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/19,40.95,41.0,40.95,41.0,84.0,3452.0,-0.1218,0.28,29.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/20,41.0,41.05,40.95,41.05,63.0,2607.0,0.122,0.21,45.0,-1.0,0.0,0.0,-1.0,,,,,,,,,
2022/05/23,41.05,41.05,41.0,41.05,31.0,1285.0,0.0,0.1033,34.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/24,41.0,41.1,41.0,41.1,14.0,587.0,0.1218,0.0467,14.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/25,41.3,41.3,41.1,41.15,3.0,141.0,0.1217,0.01,8.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/26,41.0,41.1,41.0,41.1,50.0,2058.0,-0.1215,0.1667,27.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/27,41.1,41.25,41.0,41.15,111.0,4554.0,0.1217,0.37,62.0,1.0,0.0,0.0,1.0,,,,,,,,,
2022/05/30,41.15,41.6,41.1,41.55,39.0,1653.0,0.9721,0.13,45.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/05/31,41.25,41.5,41.25,41.5,4.0,169.0,-0.1203,0.0133,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/01,41.45,41.45,41.2,41.25,22.0,930.0,-0.6024,0.0733,25.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/02,41.2,41.35,41.15,41.35,21.0,880.0,0.2424,0.07,15.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/06,41.25,41.25,41.15,41.2,35.0,1479.0,-0.3628,0.1167,27.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/07,41.2,41.2,41.15,41.15,35.0,1456.0,-0.1214,0.1167,30.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/08,41.15,41.2,41.15,41.2,48.0,1985.0,0.1215,0.16,39.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/09,41.2,41.25,41.2,41.25,35.0,1476.0,0.1214,0.1167,26.0,0.0,0.0,0.0,0.0,,,,,,,,,
2022/06/10,41.15,41.15,41.1,41.15,34.0,1420.0,-0.2424,0.1133,29.0,0.0,0.0,0.0,0.0,,,,,,,,,
