data_date,oil,WTI_oil,Yangtze_river,shredded_copper,LME_CDCS,FX_broker_gold,FX_broker_silver,LME_nickel,LME_aluminum,LME_zinc,LME_CDWS,inflation_rate_of_US,inflation_rate_of_China,CN10YY,US10YY,XLI,li_keqiang_index,CRB,USD_CLP,USD_PEN,USD_CNY
2020-12-16,1.36,1.36,58155,48150,7846.47,1873.15,25.68,17198.9,2019.03,2808.04,125365,1.4,0.2,3.24,0.945,88.29,6.68,2014.07,730.26,3.59,6.54
2020-12-23,1.37,1.37,58320,48170,7804.34,1876.39,25.9,16887.8,2008.5,2788.87,116118,1.4,0.2,3.203,0.926,87.99,6.68,2020.66,717.99,3.61,6.53
2020-12-30,1.4,1.4,58336,48125,7777.33,1896.63,26.43,16608.8,1981.77,2741.14,108925,1.4,0.2,3.2,0.916,88.14,7.799,2045.63,711.24,3.62,6.52
2021-01-06,1.465,0,59108,,8030.8,1914.3,26.8978,17673.7,2029.6,2807.92,104680,1.4,-0.3,,,,,,704.052,3.61956,6.46556
2021-01-13,1.541,0,59070,,7957.13,1843.05,25.1612,17697.9,2007.64,2732.52,102490,1.4,-0.3,,,,,,728.402,3.61134,6.47238
2021-01-20,1.54475,0,59108,,7993.45,1854.45,25.4502,18184.8,1978.8,2680.8,93365,1.4,-0.3,,,,,,727.38,3.61998,6.47472
2021-01-27,1.575,0,58670,,7907.21,1847.14,25.884,17896.3,1999.86,2600.14,77880,1.4,-0.3,,,,,,734.87,3.64202,6.45964
2021-02-03,1.6298,0,57898,,7839.31,1827.64,27.1502,17731.1,1983.48,2587.65,74910,1.68,-0.2,,,,,,734.496,3.63854,6.46354
2021-02-10,1.669,0,59616.7,,8230.6,1831.84,27.1568,18433.1,2061.94,2721.56,74700,1.68,-0.2,,,,,,728.346,3.63962,6.44547
2021-02-17,1.79625,0,63180,,8553.95,1789.35,27.2762,18949.9,2099.79,2826.5,75175,1.68,-0.2,,,,,,713.82,3.6494,6.47125
2021-02-24,1.8732,0,68360,,9259.9,1784.28,27.5426,19223.4,2169.17,2842.3,76570,1.68,-0.2,,,,,,710.194,3.64854,6.46184
2021-03-03,1.9788,0,66742,,9056.69,1713.78,25.9838,17414.2,2169.85,2774.45,76170,2.62,0.4,,,,,,728.694,3.6731,6.47358
2021-03-10,2.0934,0,66294,,8972.35,1714.85,25.8466,16097.5,2152.75,2766.7,88320,2.62,0.4,,,,,,726.342,3.6975,6.5073
2021-03-17,2.028,0,67056,,9067.9,1737.55,26.1404,16109.2,2195.94,2808.85,103040,2.62,0.4,,,,,,721.158,3.70542,6.50414
2021-03-24,1.9466,0,66374,,8964.2,1731.43,25.194,16223.2,2232.03,2807.84,120750,2.62,0.4,,,,,,724.794,3.72398,6.52672
2021-03-31,1.9962,0,65812,,8802.6,1713.49,24.5784,16084.8,2208.3,2786.48,141330,2.62,0.4,,,,,,723.214,3.74674,6.56434
2021-04-07,1.96,0,66865,,8981.56,1741.55,25.1608,16660.7,2250.65,2814.95,153481,4.16,0.9,,,,,,714.16,3.62734,6.54488
2021-04-14,2.0148,0,66690,,9074.1,1750.53,25.4526,16235.8,2291.11,2794.96,168200,4.16,0.9,,,,,,706.266,3.6265,6.5318
2021-04-21,2.0032,0,68750,,9435.07,1780.67,26.0522,16116.8,2343.28,2812.1,159515,4.16,0.9,,,,,,702.892,3.72238,6.49682
2021-04-28,2.0482,0,71466,,9845.95,1775.85,26.126,17170.3,2402.06,2905.6,149945,4.16,0.9,,,,,,704.276,3.80302,6.478
2021-05-05,2.129,0,73565,,10107.8,1800.54,26.9018,17870.3,2474.86,2950.12,131912,4.99,1.3,,,,,,701.286,3.81578,6.4459
2021-05-12,2.1312,0,75920,,10360.5,1831.19,27.2712,17643.4,2471.71,2950.68,118285,4.99,1.3,,,,,,702.418,3.6935,6.43762
2021-05-19,2.1074,0,73940,,10120,1872.61,27.8696,17397.7,2401.53,2970.83,119990,4.99,1.3,,,,,,716.554,3.73268,6.43308
2021-05-26,2.1354,0,72108,,10048.8,1894.68,27.8224,17455.4,2394.27,2988.16,124525,4.99,1.3,,,,,,728.146,3.82778,6.39356
2021-06-02,2.1945,0,73096,,10018.6,1895.2,27.8472,18039.6,2425.67,3014.75,123544,4.99,1.3,,,,,,720.958,3.83976,6.38564
2021-06-09,2.2026,0,71400,,9921.92,1890.77,27.8154,18068.8,2459.15,2993.92,129160,5.39,1.1,,,,,,718.634,3.89594,6.39478
2021-06-16,2.16,0,69117.5,,9504.55,1814.5,26.807,17608.6,2445.95,2952.27,146795,5.39,1.1,,,,,,732.208,3.90734,6.42557
2021-06-23,2.2466,0,68004,,9332.25,1778.8,25.8976,18031.5,2415.65,2868.86,177150,5.39,1.1,,,,,,737.874,3.97294,6.4691
2021-06-30,2.2536,0,68404,,9334.35,1774.47,26.0758,18260.6,2512.3,2929.3,211345,5.39,1.1,,,,,,733.404,3.88932,6.46264
2021-07-07,2.24525,0,68952,,9390.94,1800.24,26.1424,18354.3,2485.44,2932.25,214150,5.37,1,,,,,,746.636,3.94196,6.47572
2021-07-14,2.2786,0,69326,,9379.16,1816.07,26.074,18768.2,2493.06,2941.73,221670,5.37,1,,,,,,750.254,3.93608,6.46958
2021-07-21,2.2046,0,69126,,9344.61,1806.68,25.1806,18794.8,2450.58,2936.36,225070,5.37,1,,,,,,756.978,3.9324,6.47816
2021-07-28,2.3294,0,72016,,9739.55,1808.71,25.1534,19593.1,2552.16,2990.73,231100,5.37,1,,,,,,760.942,3.94628,6.48014
2021-08-04,2.2694,0,70616,,9511.49,1800.11,25.1332,19357.6,2582.46,2991.94,237005,5.25,0.8,,,,,,776.486,4.06146,6.46804
2021-08-11,2.2686,0,70018,,9474.1,1748,23.432,19232.5,2576.25,2994.71,235675,5.25,0.8,,,,,,776.788,4.0803,6.48102
2021-08-18,2.1242,0,69030,,9121.65,1784.25,23.4442,18888.8,2585.45,2978.35,242715,5.25,0.8,,,,,,786.748,4.08708,6.48784
2021-08-25,2.2268,0,69186,,9356.24,1801.37,23.7572,18996.6,2640.6,2985.58,254485,5.25,0.8,,,,,,783.482,4.07384,6.4755
2021-09-01,2.205,0,69920,,9411.32,1814.15,24.1088,19581.6,2709.75,2979.85,252588,5.25,0.8,,,,,,771.808,4.07846,6.45886
2021-09-08,2.129,0,69618,,9410.48,1797.49,24.1342,19910.6,2803.47,3049.14,239770,5.39,0.7,,,,,,784.084,4.08738,6.45618
2021-09-15,2.1784,0,70436,,9448.1,1779.61,23.3312,19647.3,2858.41,3061.49,236460,5.39,0.7,,,,,,782.622,4.09666,6.44868
2021-09-22,2.1408,0,69216.7,,9192.32,1759.78,22.443,19185.4,2884.6,3034.74,230500,5.39,0.7,,,,,,787.724,4.10222,6.46073
2021-09-29,2.2318,0,69435,,9181.42,1745.29,22.2444,18361.6,2872.97,3022.1,221475,5.39,0.7,,,,,,803.766,4.1169,6.45775
2021-10-06,2.335,0,69950,,9232.87,1760.92,22.6226,18322.9,2912.66,3044.89,206235,6.22,1.5,,,,,,813.068,4.1144,6.4435
2021-10-13,2.4176,0,71394,,9910.65,1773.48,22.9848,19290.9,3078.4,3463.82,190590,6.22,1.5,,,,,,822.136,3.97696,6.43984
2021-10-20,2.4866,0,74948,,10440.8,1778,23.9064,20219.1,3008.9,3562.95,171820,6.22,1.5,,,,,,814.568,3.94268,6.39632
2021-10-27,2.476,0,72042,,9871.45,1795.62,24.1336,19895.1,2757.1,3445.9,150490,6.22,1.5,,,,,,807.006,3.9734,6.3912
2021-11-03,2.3624,0,71142,,9772.8,1791.41,23.7938,19505.4,2617.13,3339.7,125540,6.81,2.3,,,,,,812.184,3.99982,6.3997
